rows,cols,preprocess,mean,stdev,median,exitcode
131072,32768,766.46508,31.76691,0.02837,31.76615,0
32768,32768,729.16648,31.80685,0.02748,31.79216,0
65536,32768,736.46336,31.88561,0.04331,31.87485,0
16384,32768,809.63686,32.05181,0.04276,32.03588,0
8192,32768,896.65896,32.16481,0.04872,32.13537,0
131072,16384,813.76325,32.37389,0.03692,32.3658,0
32768,16384,904.61364,32.86171,0.02972,32.84703,0
32768,65536,707.57181,33.06173,0.06134,33.01582,0
131072,65536,738.34124,33.08626,0.01949,33.07908,0
65536,16384,847.62142,33.09659,0.01316,33.09399,0
65536,65536,733.74482,33.19014,0.03726,33.18265,0
8192,65536,767.66518,33.25149,0.04985,33.22755,0
16384,65536,719.22107,33.25542,0.03887,33.2443,0
16384,16384,993.59587,33.70198,0.02358,33.69498,0
8192,16384,1067.41806,33.75894,0.03641,33.74339,0
65536,131072,685.11191,36.80561,0.02501,36.80691,0
16384,131072,668.17233,36.8458,0.0409,36.81824,0
