rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.53455,0.00571,0.53238,0
8192,8192,3.75784,1.60598,0.00405,1.60459,0
8192,16384,2.64091,1.11524,0.00345,1.11253,0
8192,32768,1.85098,0.79160,0.00211,0.79102,0
8192,65536,1.02281,0.56160,0.00165,0.56181,0
16384,8192,3.45033,1.59533,0.00566,1.59260,0
16384,16384,2.44074,1.10020,0.00408,1.09740,0
16384,32768,1.71117,0.78995,0.00243,0.78929,0
16384,65536,0.96596,0.55236,0.00404,0.55036,0
32768,8192,3.21079,1.58311,0.00342,1.58203,0
32768,16384,2.29999,1.09589,0.00302,1.09406,0
32768,32768,1.64436,0.78278,0.00253,0.78129,0
32768,65536,0.93265,0.54883,0.00297,0.54706,0
65536,8192,3.06971,1.58774,0.00413,1.58763,0
65536,16384,2.24720,1.09412,0.00251,1.09288,0
65536,32768,1.57555,0.78889,0.00225,0.78747,0
65536,65536,0.94774,0.57058,0.00251,0.57004,0
