rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.68349,0.00649,0.67892,0
8192,8192,6.20450,2.04023,0.00922,2.03508,0
8192,16384,4.64745,1.38524,0.00329,1.38412,0
8192,32768,3.41501,0.98141,0.00333,0.98117,0
8192,65536,2.46269,0.66426,0.00441,0.66208,0
16384,8192,5.92600,2.03294,0.00453,2.03075,0
16384,16384,4.31993,1.38134,0.00406,1.37976,0
16384,32768,3.18517,0.97962,0.00288,0.97875,0
16384,65536,2.30739,0.71755,0.00281,0.71656,0
32768,8192,5.55939,2.01449,0.00582,2.01123,0
32768,16384,4.07529,1.37910,0.01168,1.37160,0
32768,32768,3.04565,0.97706,0.00329,0.97579,0
32768,65536,2.33155,0.71908,0.00367,0.71785,0
65536,8192,5.30267,2.00616,0.00276,2.00496,0
65536,16384,3.96236,1.39008,0.00838,1.38865,0
65536,32768,3.08524,0.96938,0.00115,0.96931,0
65536,65536,2.28310,0.70856,0.00473,0.70661,0
