rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,6.79229,0.12323,6.71535,0
8192,8192,197.62529,70.06393,0.03150,70.04139,1
8192,16384,146.79874,43.37308,0.03295,43.37021,1
8192,32768,115.91183,27.72480,0.03415,27.70638,1
8192,65536,91.22488,18.48754,0.03736,18.46935,1
8192,131072,69.40880,12.65173,0.05221,12.62536,1
8192,262144,52.62389,9.04379,0.05490,9.01726,1
16384,8192,180.42755,71.58068,0.02584,71.56398,1
16384,16384,135.67308,43.28541,0.02461,43.27590,1
16384,32768,105.37813,27.55181,0.03425,27.53141,1
16384,65536,81.62808,18.38642,0.02117,18.37978,1
16384,131072,61.81190,12.74347,0.02595,12.72941,1
16384,262144,46.61457,9.07463,0.04794,9.05598,1
32768,8192,173.16131,72.19196,0.03560,72.17427,1
32768,16384,127.38407,43.41050,0.03189,43.39974,1
32768,32768,108.11939,27.51062,0.03902,27.47936,1
32768,65536,74.99822,18.25827,0.02914,18.23983,1
32768,131072,56.49808,12.71002,0.03508,12.69663,1
32768,262144,42.62548,9.12879,0.05671,9.10188,1
65536,8192,182.11401,72.30681,0.04162,72.28297,1
65536,16384,130.37381,43.22462,0.04096,43.20714,1
65536,32768,102.53048,27.31413,0.03096,27.30051,1
65536,65536,69.47544,18.20237,0.03446,18.18405,1
65536,131072,50.40594,12.72367,0.01709,12.71492,1
65536,262144,39.13961,8.98858,0.08636,8.94951,1
131072,8192,193.65308,72.22387,0.05407,72.20377,1
131072,16384,126.29247,43.18411,0.03324,43.16821,1
131072,32768,98.05032,27.34515,0.03783,27.33325,1
131072,65536,63.33862,18.16825,0.04852,18.12833,1
131072,131072,47.42149,12.64218,0.04137,12.61841,1
131072,262144,36.25824,9.24468,0.06572,9.21540,1
262144,8192,178.85283,72.21810,0.03295,72.19683,1
262144,16384,130.37680,43.13791,0.03431,43.11973,1
262144,32768,90.42981,27.27586,0.03655,27.25111,1
262144,65536,60.22556,18.09175,0.06196,18.04992,1
262144,131072,44.77047,12.65790,0.03609,12.64588,1
262144,262144,36.25478,9.32021,0.10635,9.26721,1
