rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,7.24804,0.00882,7.24577,0
8192,8192,249.84698,221.04349,0.07995,220.98978,0
8192,16384,155.85631,118.24229,0.04338,118.22651,0
8192,32768,110.05512,62.51926,0.01996,62.51398,0
8192,65536,72.65485,34.68701,0.02356,34.67773,0
8192,131072,47.30233,20.56396,0.04755,20.54125,0
8192,262144,33.62245,13.41707,0.01343,13.41071,0
16384,8192,238.56556,223.15347,0.27903,223.03020,0
16384,16384,146.17275,115.62733,0.04278,115.60689,0
16384,32768,119.34803,60.89187,0.02298,60.88290,0
16384,65536,71.65165,33.78350,0.02249,33.77179,0
16384,131072,42.44846,20.21198,0.06092,20.18267,0
16384,262144,30.21651,13.28484,0.01691,13.27992,0
32768,8192,252.81931,221.73778,0.31697,221.60630,0
32768,16384,153.44379,113.68551,0.03475,113.66883,0
32768,32768,104.61461,60.24841,0.40096,60.06358,0
32768,65536,67.70199,33.41913,0.02511,33.40881,0
32768,131072,38.75806,20.03386,0.06030,20.00596,0
32768,262144,27.51181,13.17866,0.02623,13.16403,0
65536,8192,256.74401,220.06897,0.10218,220.01561,0
65536,16384,179.65043,112.93052,0.05670,112.90622,0
65536,32768,97.42028,59.72982,0.03184,59.70683,0
65536,65536,64.46726,33.15038,0.02657,33.13502,0
65536,131072,35.45786,19.96885,0.18544,19.84183,0
65536,262144,24.87704,13.16610,0.02205,13.15571,0
131072,8192,328.36673,220.71642,0.21725,220.58006,0
131072,16384,179.67843,112.72133,0.08511,112.67462,0
131072,32768,108.25701,59.62897,0.04760,59.59926,0
131072,65536,63.50945,33.03480,0.03131,33.01712,0
131072,131072,32.43652,19.74952,0.02048,19.73697,0
131072,262144,22.48952,13.15050,0.01077,13.14287,0
262144,8192,334.30755,219.53453,0.47813,219.26474,0
262144,16384,188.48657,112.98481,0.31865,112.78372,0
262144,32768,104.78672,59.64835,0.12552,59.59661,0
262144,65536,57.51076,32.98999,0.06903,32.95549,0
262144,131072,31.05828,19.69139,0.01271,19.68567,0
262144,262144,20.84986,13.11808,0.01753,13.10858,0
