rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.77286,0.01334,1.76594,0
8192,8192,27.63776,8.05336,0.00871,8.04589,0
8192,16384,21.21228,5.47880,0.02122,5.46366,0
8192,32768,15.90157,3.77588,0.00777,3.77241,0
8192,65536,11.57335,2.57639,0.00611,2.57403,0
8192,131072,7.97910,1.77059,0.00272,1.77120,0
16384,8192,24.76626,7.96779,0.00920,7.96390,0
16384,16384,19.34373,5.45430,0.00683,5.45544,0
16384,32768,14.24617,3.74963,0.00591,3.74617,0
16384,65536,10.58387,2.60230,0.00888,2.60033,0
16384,131072,7.27183,1.72017,0.00799,1.71415,0
32768,8192,22.90213,7.93887,0.00912,7.93589,0
32768,16384,18.07643,5.42436,0.00910,5.42127,0
32768,32768,13.07305,3.73885,0.00673,3.73487,0
32768,65536,9.90279,2.59101,0.00832,2.58829,0
32768,131072,7.15684,1.66108,0.00926,1.65472,0
65536,8192,21.65200,7.88969,0.01549,7.88986,0
65536,16384,16.72802,5.40782,0.02131,5.40691,0
65536,32768,12.55743,3.71903,0.01826,3.70815,0
65536,65536,9.41308,2.58535,0.00587,2.58513,0
65536,131072,6.97005,1.81280,0.00384,1.81044,0
131072,8192,20.98802,7.88928,0.01115,7.88342,0
131072,16384,15.98474,5.39518,0.00851,5.39082,0
131072,32768,12.47290,3.72826,0.01084,3.72382,0
131072,65536,9.56750,2.57904,0.00390,2.57669,0
131072,131072,7.17038,1.83853,0.00449,1.83633,0
