rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,40.07729,0.71509,40.13999,0
8192,8192,1617.68818,350.66808,0.14087,350.67108,0
8192,16384,1221.43231,225.19869,0.03633,225.18796,0
8192,32768,961.90019,151.59556,0.05388,151.57707,0
8192,65536,752.08173,103.96644,0.07868,103.94030,0
8192,131072,639.05364,72.26853,0.06657,72.26025,0
8192,262144,495.36662,52.45446,0.06653,52.43126,0
16384,8192,1520.01218,344.80427,0.19093,344.77303,0
16384,16384,1124.86323,221.64337,0.09306,221.59590,0
16384,32768,880.70788,149.77806,0.08181,149.74696,0
16384,65536,717.69876,102.80183,0.09740,102.74661,0
16384,131072,579.89975,71.82751,0.26128,71.72746,0
16384,262144,474.89581,51.28878,0.01909,51.28074,0
32768,8192,1390.40419,341.37718,0.26921,341.15039,0
32768,16384,1023.87818,220.38915,0.16265,220.29633,0
32768,32768,808.01982,148.78720,0.04809,148.77039,0
32768,65536,668.72393,102.50377,0.09480,102.44694,0
32768,131072,551.77349,70.61658,0.09311,70.57033,0
32768,262144,429.50647,50.88501,0.07764,50.81924,0
65536,8192,1353.51391,340.12514,0.19942,340.03852,0
65536,16384,989.52781,219.56034,0.15476,219.45752,0
65536,32768,714.85611,148.53408,0.05725,148.50556,0
65536,65536,602.71103,102.44854,0.08667,102.43035,0
65536,131072,486.67283,70.85046,0.10436,70.78019,0
65536,262144,386.41585,50.36019,0.04233,50.34084,0
131072,8192,1233.32828,340.25169,0.16995,340.17453,0
131072,16384,948.23571,219.42829,0.19284,219.27428,0
131072,32768,718.74677,148.48315,0.07448,148.48254,0
131072,65536,574.86887,102.13109,0.03439,102.11330,0
131072,131072,462.54261,70.16477,0.04556,70.14404,0
131072,262144,365.87760,51.03415,0.06820,51.01526,0
262144,8192,1234.82533,339.87256,0.08559,339.85158,0
262144,16384,919.44951,219.28165,0.15043,219.20005,0
262144,32768,674.20726,148.29602,0.06809,148.30333,0
262144,65536,525.06232,102.18881,0.09387,102.13534,0
262144,131072,445.07471,70.78000,0.13995,70.69178,0
262144,262144,345.39625,50.75819,0.04838,50.72820,0
