rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,45.18268,0.15839,45.09643,0
8192,8192,1848.18926,376.36100,0.21446,376.32566,0
8192,16384,1418.42774,246.12930,0.23965,245.94791,1
8192,32768,1137.08375,167.46248,0.12799,167.43465,0
8192,65536,899.27138,115.09512,0.09407,115.03464,0
8192,131072,755.94209,79.82251,0.04077,79.80528,0
8192,262144,613.53770,58.58976,0.10276,58.55252,0
16384,8192,1686.69831,370.25047,0.10954,370.21377,0
16384,16384,1329.34863,243.03576,0.17697,242.94795,1
16384,32768,1053.07445,165.27660,0.22750,165.14771,0
16384,65536,866.19268,113.70983,0.13831,113.61467,0
16384,131072,697.73200,78.98414,0.04654,78.99632,0
16384,262144,556.09921,56.96292,0.07253,56.91655,0
32768,8192,1590.22455,368.26911,0.15746,368.19441,0
32768,16384,1220.71902,241.53722,0.22449,241.59530,1
32768,32768,945.40569,164.86850,0.06336,164.84124,0
32768,65536,789.25560,113.74098,0.14413,113.74390,0
32768,131072,640.29926,77.91206,0.11874,77.80520,0
32768,262144,525.50805,56.32878,0.06290,56.29710,0
65536,8192,1553.07272,366.56135,0.19364,366.53787,0
65536,16384,1169.78702,240.88156,0.14342,240.80077,1
65536,32768,885.64332,164.31249,0.06501,164.26750,0
65536,65536,738.14731,113.09725,0.07639,113.06396,0
65536,131072,622.65058,77.83833,0.17771,77.73881,0
65536,262144,464.85503,56.50905,0.07733,56.50616,0
131072,8192,1502.19157,367.33882,0.30786,367.16238,0
131072,16384,1109.18341,240.74212,0.13438,240.67138,1
131072,32768,839.58599,164.34982,0.13479,164.32170,0
131072,65536,706.39007,113.60036,0.07888,113.58275,0
131072,131072,542.60370,78.16561,0.15997,78.14053,0
131072,262144,457.99432,55.76630,0.05938,55.74217,0
262144,8192,1423.50220,366.63458,0.10573,366.57709,0
262144,16384,1053.05945,240.86247,0.13793,240.78760,1
262144,32768,785.10646,164.39233,0.13415,164.42128,0
262144,65536,646.17292,113.56418,0.08333,113.52572,0
262144,131072,538.49079,77.70162,0.02789,77.69861,0
262144,262144,427.73326,57.35465,0.13727,57.29184,0
