rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,3.59490,0.04414,3.56315,0
8192,8192,88.93876,25.29635,0.01361,25.28970,0
8192,16384,69.55119,17.67081,0.01351,17.66632,0
8192,32768,55.30618,13.03247,0.01436,13.02620,0
8192,65536,42.72692,9.42152,0.01573,9.41937,0
8192,131072,30.89131,6.21858,0.00548,6.21562,0
8192,262144,18.62930,3.74442,0.00684,3.74390,0
16384,8192,80.23499,25.03894,0.00781,25.03649,0
16384,16384,63.39131,17.54472,0.00743,17.53994,0
16384,32768,50.60442,12.91994,0.00811,12.91698,0
16384,65536,37.92632,9.33716,0.00793,9.33315,0
16384,131072,27.80669,6.24566,0.01059,6.23923,0
16384,262144,16.17258,3.70505,0.00600,3.70390,0
32768,8192,73.03253,24.90554,0.01238,24.89864,0
32768,16384,56.95032,17.41577,0.01099,17.41044,0
32768,32768,45.31448,12.84160,0.00652,12.83705,0
32768,65536,33.85545,9.29220,0.00988,9.28804,0
32768,131072,25.27026,6.20354,0.01030,6.19623,0
32768,262144,14.86505,3.74057,0.00460,3.73878,0
65536,8192,68.86510,24.78593,0.01138,24.78198,0
65536,16384,52.77473,17.37841,0.01795,17.36642,0
65536,32768,41.87970,12.82518,0.00944,12.81990,0
65536,65536,31.08049,9.25397,0.01847,9.24766,0
65536,131072,23.20092,6.19285,0.01533,6.18607,0
65536,262144,13.93067,3.79963,0.00623,3.79542,0
131072,8192,64.55335,24.76133,0.02445,24.74728,0
131072,16384,49.75432,17.38474,0.01233,17.38170,0
131072,32768,39.17224,12.78436,0.00778,12.78393,0
131072,65536,29.21838,9.29223,0.00938,9.28872,0
131072,131072,22.53398,6.19175,0.01567,6.18149,0
131072,262144,14.27531,3.77267,0.00874,3.77013,0
262144,8192,62.23324,24.76296,0.05022,24.73622,0
262144,16384,48.47193,17.39764,0.01504,17.38862,0
262144,32768,37.57388,12.80611,0.01107,12.80096,0
262144,65536,28.79885,9.26047,0.02014,9.25845,0
262144,131072,21.83126,6.18324,0.01384,6.17944,0
262144,262144,14.24196,3.77002,0.03152,3.75589,0
