rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,3.50140,0.08342,3.44331,0
8192,8192,82.18477,24.46387,0.01789,24.46085,0
8192,16384,65.02662,16.91441,0.03525,16.89774,0
8192,32768,52.47347,12.27387,0.00118,12.27390,0
8192,65536,40.30824,8.95855,0.00954,8.95279,0
8192,131072,29.45673,6.09809,0.00822,6.09756,0
8192,262144,18.61518,3.64786,0.01769,3.64092,0
16384,8192,74.95632,24.21609,0.02297,24.20198,0
16384,16384,58.51621,16.67496,0.00883,16.67166,0
16384,32768,47.77866,12.16017,0.00800,12.15577,0
16384,65536,36.35776,8.81651,0.01178,8.81536,0
16384,131072,26.36159,6.04781,0.01000,6.04493,0
16384,262144,15.44777,3.68388,0.00643,3.68268,0
32768,8192,68.97788,24.03183,0.02776,24.01423,0
32768,16384,53.82002,16.56067,0.02057,16.54787,0
32768,32768,42.79862,12.05016,0.00353,12.04756,0
32768,65536,32.35816,8.77099,0.00809,8.76900,0
32768,131072,23.92046,6.00117,0.01465,5.99729,0
32768,262144,14.17912,3.70175,0.01615,3.68956,0
65536,8192,64.31591,23.95088,0.02733,23.94532,0
65536,16384,49.09385,16.50259,0.01282,16.49896,0
65536,32768,39.10059,12.03878,0.00590,12.03746,0
65536,65536,29.05597,8.72294,0.01681,8.71587,0
65536,131072,21.86021,5.99870,0.01375,5.99380,0
65536,262144,13.52881,3.71027,0.00301,3.70975,0
131072,8192,60.61385,23.88202,0.01368,23.87565,0
131072,16384,46.32121,16.50810,0.01016,16.50402,0
131072,32768,36.89532,12.02061,0.00986,12.01936,0
131072,65536,27.59973,8.69705,0.02045,8.69209,0
131072,131072,21.37608,6.00068,0.01024,6.00006,0
131072,262144,14.15556,3.71057,0.00480,3.70758,0
262144,8192,58.99266,23.89903,0.02138,23.89135,0
262144,16384,44.83994,16.45869,0.01908,16.44570,0
262144,32768,34.93127,11.99311,0.01715,11.98192,0
262144,65536,27.68213,8.88965,0.01427,8.88658,0
262144,131072,20.67349,6.12022,0.02173,6.11441,0
262144,262144,14.09361,3.82452,0.02994,3.80856,0
