rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.76338,0.01737,0.75447,0
8192,8192,6.81808,2.32465,0.00511,2.32360,0
8192,16384,4.99079,1.73706,0.00661,1.73359,0
8192,32768,3.57928,1.26510,0.00162,1.26466,0
8192,65536,1.99112,0.80678,0.00427,0.80479,0
16384,8192,6.20567,2.30368,0.00442,2.30217,0
16384,16384,4.50579,1.71850,0.00833,1.71437,0
16384,32768,3.26002,1.25501,0.00345,1.25257,0
16384,65536,1.81737,0.80874,0.00312,0.80723,0
32768,8192,5.90201,2.28900,0.00721,2.28495,0
32768,16384,4.26712,1.70702,0.00633,1.70448,0
32768,32768,3.10297,1.24952,0.00248,1.24835,0
32768,65536,1.81164,0.80904,0.00453,0.80741,0
65536,8192,5.57332,2.28416,0.00471,2.28272,0
65536,16384,4.16666,1.70488,0.00515,1.70216,0
65536,32768,3.01431,1.24929,0.00323,1.24789,0
65536,65536,1.82760,0.80822,0.00339,0.80660,0
