rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.74404,0.00459,0.74132,0
8192,8192,21.19015,4.74097,0.00849,4.73661,0
8192,16384,15.44175,3.02064,0.00527,3.01888,0
8192,32768,11.64213,1.79379,0.00955,1.78671,0
8192,65536,7.39508,0.95215,0.00471,0.94968,0
16384,8192,19.24330,4.71165,0.00820,4.70796,0
16384,16384,14.04417,3.05843,0.00819,3.05235,0
16384,32768,10.64374,1.73804,0.00369,1.73630,0
16384,65536,6.92334,0.87284,0.00335,0.87089,0
32768,8192,17.78724,4.69435,0.01011,4.68681,0
32768,16384,13.17174,3.05107,0.01099,3.04766,0
32768,32768,10.18306,1.84811,0.00947,1.84466,0
32768,65536,6.87511,0.95461,0.00591,0.95076,0
65536,8192,17.04825,4.69466,0.01074,4.69219,0
65536,16384,12.95449,3.04856,0.01156,3.04202,0
65536,32768,10.12510,1.84330,0.00379,1.84069,0
65536,65536,7.15619,0.84047,0.00660,0.83591,0
