rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,4.86383,0.16935,4.79458,0
8192,8192,208.95233,42.60719,0.03044,42.59898,0
8192,16384,167.43308,30.74920,0.02287,30.73841,0
8192,32768,136.03551,21.06322,0.01928,21.05326,0
8192,65536,100.74730,13.16313,0.02036,13.15336,0
8192,131072,75.46206,7.79273,0.03095,7.77901,0
8192,262144,51.36906,5.24205,0.09455,5.19743,0
16384,8192,199.06325,42.23894,0.03005,42.22246,0
16384,16384,150.73328,30.55259,0.01966,30.54360,0
16384,32768,120.43656,20.87989,0.03645,20.86000,0
16384,65536,90.27817,13.09918,0.01724,13.09054,0
16384,131072,67.76547,7.98113,0.04734,7.96003,0
16384,262144,45.51556,5.35683,0.14039,5.28230,0
32768,8192,182.49166,42.11320,0.04528,42.11181,0
32768,16384,137.72302,30.46996,0.01912,30.45928,0
32768,32768,109.59624,20.94042,0.01544,20.92892,0
32768,65536,79.49630,13.13110,0.02551,13.12154,0
32768,131072,61.28176,7.75352,0.04775,7.73002,0
32768,262144,43.01204,5.26609,0.20946,5.15660,0
65536,8192,174.05058,41.95052,0.03178,41.93296,0
65536,16384,127.13034,30.39417,0.02159,30.38833,0
65536,32768,99.49067,20.88746,0.04866,20.85309,0
65536,65536,72.75518,12.98277,0.05509,12.94225,0
65536,131072,55.31573,7.74461,0.05241,7.71334,0
65536,262144,39.96929,5.41981,0.21934,5.29497,0
131072,8192,167.68422,41.86155,0.02261,41.85063,0
131072,16384,117.98826,30.37163,0.03000,30.35465,0
131072,32768,91.34597,20.88837,0.03520,20.86655,0
131072,65536,67.84052,13.31465,0.03811,13.30167,0
131072,131072,53.23944,7.76244,0.08824,7.72001,0
131072,262144,56.00745,5.22399,0.30462,5.05765,0
262144,8192,162.80484,41.87177,0.01917,41.86553,0
262144,16384,113.35505,30.38970,0.04180,30.37919,0
262144,32768,87.43539,20.88867,0.04326,20.86966,0
262144,65536,67.15611,13.42078,0.07910,13.38441,0
262144,131072,71.55336,8.46301,0.09750,8.40801,0
262144,262144,38.50348,5.19756,0.25697,5.06399,0
