rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,2.56304,0.02226,2.55033,0
8192,8192,42.38128,17.95663,0.01449,17.94797,0
8192,16384,28.73140,10.99815,0.00937,10.99517,0
8192,32768,22.07806,7.38755,0.00689,7.38370,0
8192,65536,16.26729,5.32382,0.00644,5.32016,0
8192,131072,11.49346,3.87138,0.00814,3.86763,0
8192,262144,6.51299,2.68214,0.00364,2.68000,0
16384,8192,39.83479,17.65006,0.01424,17.64349,0
16384,16384,26.04432,10.84424,0.00534,10.84254,0
16384,32768,19.99380,7.29798,0.00406,7.29540,0
16384,65536,14.64951,5.26605,0.01100,5.26191,0
16384,131072,10.35344,3.84641,0.01145,3.83984,0
16384,262144,5.83933,2.68635,0.00869,2.68605,0
32768,8192,38.60050,17.48792,0.01085,17.48029,0
32768,16384,23.80830,10.78820,0.00672,10.78696,0
32768,32768,18.19756,7.28229,0.00402,7.28102,0
32768,65536,13.25884,5.24752,0.00823,5.24520,0
32768,131072,9.52743,3.83977,0.00958,3.83679,0
32768,262144,5.26237,2.67653,0.00657,2.67357,0
65536,8192,36.50734,17.43482,0.01098,17.42965,0
65536,16384,22.12734,10.74345,0.00346,10.74170,0
65536,32768,17.09490,7.25646,0.00714,7.25425,0
65536,65536,12.40207,5.23122,0.00784,5.22890,0
65536,131072,8.87276,3.82078,0.01148,3.81390,0
65536,262144,4.89968,2.65934,0.00584,2.65783,0
131072,8192,35.03141,17.42217,0.01117,17.41752,0
131072,16384,21.39459,10.72032,0.00501,10.71912,0
131072,32768,16.08238,7.23392,0.00662,7.23046,0
131072,65536,11.73393,5.20945,0.00698,5.20546,0
131072,131072,8.50902,3.80968,0.01041,3.80435,0
131072,262144,5.04071,2.69542,0.00709,2.69053,0
262144,8192,37.08595,17.39298,0.01684,17.38137,0
262144,16384,20.53134,10.71478,0.00583,10.71065,0
262144,32768,15.58359,7.23769,0.00438,7.23710,0
262144,65536,11.49422,5.21736,0.00516,5.21641,0
262144,131072,8.42016,3.83244,0.01403,3.82467,0
262144,262144,4.88751,2.65299,0.00555,2.65097,0
