rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,11.59535,0.02251,11.58060,0
8192,8192,332.05426,12.54226,0.01981,12.52709,0
8192,16384,267.54795,11.00801,0.02782,10.99222,0
8192,32768,230.29685,11.09113,0.02332,11.07947,0
8192,65536,204.24551,11.55611,0.02049,11.54384,0
16384,8192,317.10531,12.68924,0.03227,12.67068,0
16384,16384,272.08983,11.03313,0.02521,11.01851,0
16384,32768,237.68644,11.02210,0.02083,11.01412,0
16384,65536,214.21116,11.49126,0.01075,11.48884,0
32768,8192,292.32602,12.21307,0.02343,12.19922,0
32768,16384,248.91048,10.88296,0.02638,10.87518,0
32768,32768,227.17040,10.92576,0.01901,10.91648,0
32768,65536,265.17282,11.56284,0.01522,11.55555,0
65536,8192,299.87449,12.04607,0.03026,12.02770,0
65536,16384,248.79660,10.97231,0.01805,10.96554,0
65536,32768,280.92327,11.15723,0.02629,11.14260,0
65536,65536,231.15271,11.45151,0.01407,11.44467,0
