rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,12.73181,0.22274,12.65009,0
8192,8192,554.24742,252.05076,0.05388,252.02562,1
8192,16384,386.14712,142.89026,0.04303,142.85582,1
8192,32768,289.41610,84.83651,0.04197,84.81472,1
8192,65536,216.41673,53.20314,0.03650,53.19613,1
8192,131072,170.61280,35.40003,0.03737,35.38851,1
8192,262144,133.89326,24.33857,0.11620,24.28477,1
16384,8192,570.98495,250.23245,0.04998,250.20734,1
16384,16384,390.75223,140.37046,0.08703,140.32610,1
16384,32768,266.14683,83.24445,0.05831,83.19937,1
16384,65536,221.86831,52.24558,0.03031,52.23338,1
16384,131072,162.53114,34.80122,0.05721,34.77505,1
16384,262144,124.75533,24.24427,0.10459,24.19668,1
32768,8192,542.61125,248.16664,0.09410,248.13241,1
32768,16384,362.17065,138.95624,0.05001,138.92400,1
32768,32768,247.98758,82.50699,0.02865,82.50649,1
32768,65536,199.15263,51.93465,0.02201,51.92365,1
32768,131072,152.87242,34.56365,0.02460,34.55569,1
32768,262144,115.25039,23.97729,0.10199,23.94747,1
65536,8192,493.91886,246.78941,0.03711,246.78285,1
65536,16384,324.64018,138.33275,0.03460,138.32177,1
65536,32768,261.25659,81.82421,0.03194,81.80352,1
65536,65536,190.55273,51.52135,0.02271,51.50686,1
65536,131072,141.91458,34.24323,0.06508,34.19615,1
65536,262144,108.57166,23.89132,0.11935,23.81497,1
131072,8192,515.72997,247.02322,0.12693,246.96597,1
131072,16384,367.95404,138.17393,0.03132,138.16530,1
131072,32768,231.40103,81.93701,0.25965,81.80641,1
131072,65536,183.77635,51.44589,0.03265,51.42827,1
131072,131072,132.00197,34.11142,0.02225,34.10409,1
131072,262144,97.35217,23.81654,0.10654,23.76111,1
262144,8192,560.62727,247.14000,0.09560,247.09660,1
262144,16384,342.06850,138.17468,0.14326,138.10022,1
262144,32768,238.44494,81.66555,0.09105,81.62294,1
262144,65536,162.29324,51.26201,0.07772,51.22165,1
262144,131072,132.21951,33.97562,0.05465,33.94926,1
262144,262144,77.67364,23.77580,0.11980,23.70851,1
