rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.18291,0.01409,1.17650,0
8192,8192,14.54669,5.77585,0.01216,5.77127,0
8192,16384,11.12846,3.78215,0.00514,3.78040,0
8192,32768,8.00873,2.59022,0.00764,2.58654,0
8192,65536,5.77630,1.79319,0.00494,1.79272,0
8192,131072,3.61224,1.25483,0.00261,1.25332,0
16384,8192,13.22403,5.70826,0.01264,5.70425,0
16384,16384,10.11048,3.75814,0.00638,3.75414,0
16384,32768,7.23521,2.57947,0.00780,2.57534,0
16384,65536,5.26718,1.79088,0.00423,1.78796,0
16384,131072,3.33143,1.24694,0.00265,1.24594,0
32768,8192,12.29525,5.67929,0.01595,5.67111,0
32768,16384,9.40682,3.73815,0.01073,3.73285,0
32768,32768,6.74831,2.56957,0.00818,2.56487,0
32768,65536,4.89984,1.78680,0.00887,1.78066,0
32768,131072,3.18609,1.24041,0.00579,1.23663,0
65536,8192,11.64964,5.65781,0.00185,5.65635,0
65536,16384,8.76869,3.70781,0.00931,3.70363,0
65536,32768,6.37703,2.55578,0.00380,2.55456,0
65536,65536,4.80848,1.78603,0.00798,1.77885,0
65536,131072,3.14396,1.24564,0.00262,1.24528,0
131072,8192,11.19481,5.62752,0.01114,5.62223,0
131072,16384,8.41450,3.72514,0.01230,3.72073,0
131072,32768,6.26866,2.56128,0.00352,2.55924,0
131072,65536,4.65172,1.77430,0.00408,1.77126,0
131072,131072,3.33737,1.23795,0.00503,1.23669,0
