rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,2.90542,0.01691,2.89464,0
8192,8192,44.16094,18.65080,0.00946,18.64712,0
8192,16384,33.27895,11.86212,0.00984,11.85608,0
8192,32768,25.65986,8.29211,0.00706,8.28936,0
8192,65536,19.13958,6.19920,0.00686,6.19669,0
8192,131072,13.18863,4.53191,0.01092,4.52474,0
8192,262144,7.57742,3.03794,0.00526,3.03555,0
16384,8192,42.98231,18.33798,0.07717,18.30112,0
16384,16384,30.44423,11.67448,0.00848,11.66953,0
16384,32768,23.17433,8.23539,0.00582,8.23312,0
16384,65536,17.37180,6.13402,0.00647,6.13063,0
16384,131072,11.97228,4.49689,0.00661,4.49285,0
16384,262144,6.68210,3.03175,0.00639,3.02921,0
32768,8192,41.81076,18.16550,0.01677,18.15598,0
32768,16384,27.85115,11.56777,0.01046,11.56490,0
32768,32768,21.25590,8.18909,0.00426,8.18884,0
32768,65536,15.54632,6.13928,0.00128,6.13866,0
32768,131072,10.87851,4.48219,0.00822,4.47837,0
32768,262144,6.07116,3.02372,0.00615,3.02413,0
65536,8192,44.74309,18.09502,0.02022,18.08456,0
65536,16384,25.60780,11.52367,0.01285,11.51461,0
65536,32768,19.75001,8.16842,0.00424,8.16742,0
65536,65536,14.40975,6.12088,0.00833,6.12177,0
65536,131072,10.20110,4.48113,0.00527,4.47897,0
65536,262144,5.52479,3.02053,0.00488,3.01977,0
131072,8192,37.31960,18.04231,0.01419,18.03276,0
131072,16384,24.39765,11.50862,0.00326,11.50696,0
131072,32768,18.56712,8.14927,0.00610,8.14632,0
131072,65536,13.60915,6.11786,0.00408,6.11714,0
131072,131072,9.73808,4.46457,0.00990,4.46492,0
131072,262144,5.61328,3.07931,0.00373,3.07936,0
262144,8192,40.66362,18.02665,0.02350,18.01724,0
262144,16384,23.66606,11.48905,0.00711,11.48622,0
262144,32768,17.88384,8.13564,0.00451,8.13253,0
262144,65536,13.28143,6.09200,0.00645,6.08817,0
262144,131072,9.58868,4.45173,0.00992,4.44994,0
262144,262144,6.01475,3.13646,0.00818,3.13475,0
