rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,2.57002,0.03238,2.55331,0
8192,8192,52.17606,18.99826,0.01850,18.99025,0
8192,16384,32.85801,11.88150,0.00534,11.87933,0
8192,32768,25.64603,7.93480,0.01095,7.92884,0
8192,65536,18.65195,5.56190,0.01088,5.55744,0
8192,131072,13.28926,3.91602,0.00676,3.91361,0
8192,262144,8.25360,2.65363,0.00739,2.65163,0
16384,8192,42.88749,18.69177,0.00767,18.68830,0
16384,16384,29.77224,11.70667,0.00487,11.70620,0
16384,32768,23.13598,7.87913,0.00464,7.87731,0
16384,65536,16.80735,5.54330,0.00571,5.54301,0
16384,131072,12.18499,3.91163,0.00987,3.90793,0
16384,262144,7.17578,2.69095,0.00356,2.68894,0
32768,8192,41.83405,18.51510,0.01018,18.51313,0
32768,16384,27.49099,11.63464,0.00448,11.63342,0
32768,32768,21.17105,7.86194,0.00533,7.85928,0
32768,65536,15.31809,5.52061,0.01094,5.51613,0
32768,131072,11.10266,3.89864,0.00928,3.89351,0
32768,262144,6.72071,2.66534,0.00718,2.66254,0
65536,8192,43.44745,18.45944,0.01838,18.45180,0
65536,16384,25.46999,11.58441,0.00694,11.58120,0
65536,32768,19.73978,7.82985,0.00858,7.82900,0
65536,65536,14.21222,5.49410,0.01270,5.48570,0
65536,131072,10.45157,3.87670,0.01264,3.86899,0
65536,262144,6.58645,2.66186,0.00743,2.65705,0
131072,8192,44.43462,18.42802,0.01041,18.42366,0
131072,16384,24.39770,11.54380,0.01078,11.53992,0
131072,32768,18.44435,7.80450,0.01395,7.79884,0
131072,65536,13.57234,5.47802,0.01975,5.47354,0
131072,131072,10.14332,3.87442,0.01484,3.86663,0
131072,262144,6.31100,2.66132,0.00463,2.66047,0
262144,8192,43.92813,18.41152,0.00943,18.40671,0
262144,16384,23.52653,11.53677,0.01042,11.53480,0
262144,32768,17.79120,7.79924,0.00578,7.79737,0
262144,65536,13.33415,5.49007,0.00916,5.48627,0
262144,131072,9.79675,3.87200,0.00757,3.86962,0
262144,262144,6.75816,2.67509,0.00906,2.67199,0
