rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,5.65207,0.03171,5.63672,0
8192,8192,155.36038,23.64353,0.03236,23.62357,0
8192,16384,123.10806,14.06287,0.02956,14.04559,0
8192,32768,91.37631,9.78252,0.02007,9.77043,0
8192,65536,70.29620,7.99546,0.04471,7.96967,0
8192,131072,51.77704,5.73750,0.07160,5.70094,0
16384,8192,142.78374,23.60366,0.04328,23.57969,0
16384,16384,112.21184,14.08692,0.04943,14.05670,0
16384,32768,81.09091,9.65235,0.05019,9.62204,0
16384,65536,62.91557,7.89665,0.06618,7.86068,0
16384,131072,49.02114,5.74023,0.09803,5.68681,0
32768,8192,129.64707,23.52478,0.02997,23.51317,0
32768,16384,100.95946,14.25449,0.06575,14.22616,0
32768,32768,73.88978,9.98372,0.08854,9.93600,0
32768,65536,56.99439,8.19754,0.08721,8.14568,0
32768,131072,45.97935,5.72843,0.10442,5.66583,0
65536,8192,119.25230,23.50808,0.05315,23.47420,0
65536,16384,91.54682,13.95906,0.10346,13.90343,0
65536,32768,68.05439,9.67416,0.09328,9.61754,0
65536,65536,54.84970,8.17659,0.09190,8.12379,0
65536,131072,60.88818,5.70129,0.08462,5.65025,0
131072,8192,112.46383,23.47021,0.03637,23.45823,0
131072,16384,86.73685,13.86734,0.07998,13.81546,0
131072,32768,66.10819,9.66896,0.07288,9.63183,0
131072,65536,75.13702,8.14398,0.06706,8.10735,0
131072,131072,43.30569,5.67787,0.06306,5.64406,0
