rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
65536,262144,458.43172,44.17089,0.02489,44.16282,0,19,1.0880423396875472,65536x262144
32768,262144,486.01818,44.27347,0.01786,44.26259,0,19,1.0855898400884358,32768x262144
16384,262144,521.02814,44.46745,0.01934,44.46895,0,19,1.0805521155772735,16384x262144
131072,262144,435.67381,44.49052,0.02594,44.4812,0,19,1.0802545344999686,131072x262144
262144,262144,476.68819,44.5331,0.03741,44.50684,0,19,1.0796322093413058,262144x262144
0,0,0.0,45.32038,0.04175,45.29363,0,19,1.0608780528299453,No Tiling
8192,262144,575.70575,45.32695,0.01256,45.3227,0,19,1.0601976051735664,8192x262144
131072,131072,466.24974,49.45921,0.03057,49.44256,0,19,0.971855381274756,131072x131072
32768,131072,592.93216,52.42226,0.01753,52.41622,0,19,0.9167203968542562,32768x131072
262144,131072,495.00315,53.22802,0.06767,53.18632,0,19,0.9034469389873185,262144x131072
16384,131072,649.08265,53.29182,0.03157,53.26694,0,19,0.9020795637969817,16384x131072
8192,131072,708.94939,53.59904,0.27378,53.41308,0,19,0.8996114434891229,8192x131072
65536,131072,529.74498,54.39345,0.16891,54.32267,0,19,0.8845481637776641,65536x131072
131072,65536,658.36994,65.24278,0.08039,65.22563,0,19,0.7366892125074147,131072x65536
262144,65536,618.83895,65.36624,0.09364,65.29226,0,19,0.7359374296432686,262144x65536
32768,65536,748.96499,66.39397,0.1257,66.34587,0,19,0.7242503263579179,32768x65536
16384,65536,797.01657,67.76702,0.03203,67.75971,0,19,0.7091384836210191,16384x65536
8192,65536,882.1548,68.7467,0.04121,68.7287,0,19,0.6991405046217956,8192x65536
65536,65536,706.13239,68.84152,0.06256,68.81752,0,19,0.6982381521449771,65536x65536
262144,32768,749.31207,104.51976,0.0523,104.49853,0,19,0.45982482241616224,262144x32768
131072,32768,816.74579,104.62962,0.10698,104.56932,0,19,0.45951353609261303,131072x32768
32768,32768,930.76727,105.09891,0.12114,105.03647,0,19,0.45746984832982296,32768x32768
65536,32768,865.5404,105.29303,0.06608,105.27713,0,19,0.4564240875487392,65536x32768
8192,32768,1087.33837,106.71405,0.07725,106.68484,0,19,0.45040155658479686,8192x32768
16384,32768,984.87208,106.72902,0.0855,106.69799,0,19,0.4503460468186889,16384x32768
262144,16384,909.47485,167.79154,0.09605,167.77166,0,19,0.2864072394586785,262144x16384
65536,16384,1037.6145,167.96274,0.04733,167.93431,0,19,0.28612984446120626,65536x16384
131072,16384,955.91763,168.09874,0.0411,168.07013,0,19,0.2858986186302111,131072x16384
32768,16384,1146.0082,168.09686,0.04716,168.08958,0,19,0.28586553669775366,32768x16384
16384,16384,1238.90077,168.73227,0.06667,168.70409,0,19,0.28482426241118397,16384x16384
8192,16384,1355.89678,169.78415,0.02974,169.77114,0,19,0.2830340775234236,8192x16384
262144,8192,1192.67554,241.72138,0.05994,241.70919,0,19,0.19879681860669013,262144x8192
65536,8192,1335.87306,241.85355,0.073,241.82299,0,19,0.19870326638505298,65536x8192
32768,8192,1434.56434,242.15696,0.32099,241.92435,0,19,0.19862001489308537,32768x8192
131072,8192,1255.24331,242.08096,0.09004,242.031,0,19,0.19853249377145904,131072x8192
16384,8192,1527.40032,243.09969,0.14389,243.03772,0,19,0.19771012499623516,16384x8192
8192,8192,1670.12459,244.73335,0.17369,244.77378,0,19,0.19630786434723524,8192x8192
