rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,0.26498,0.00484,0.262,0,15,0.3391297709923664,No Tiling
16384,32768,0.45919,0.26982,0.00843,0.26454,0,15,0.33587359189536553,16384x32768
8192,32768,0.47736,0.2772,0.00704,0.27258,0,15,0.3259666886785531,8192x32768
32768,32768,0.46025,0.27534,0.00328,0.27343,0,15,0.32495337014958126,32768x32768
32768,16384,0.77654,0.38983,0.00509,0.38703,0,15,0.22957393483709274,32768x16384
16384,16384,0.812,0.39546,0.00157,0.39504,0,15,0.22491899554475497,16384x16384
8192,16384,0.85128,0.39873,0.00251,0.39708,0,15,0.22376347335549512,8192x16384
32768,8192,1.12193,0.544,0.00498,0.54155,0,15,0.1640697996491552,32768x8192
16384,8192,1.14788,0.54749,0.005,0.54497,0,15,0.1630401673486614,16384x8192
8192,8192,1.22419,0.55174,0.00587,0.54874,0,15,0.1619200349892481,8192x8192
