rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,4.20417,0.03126,4.18696,0
8192,8192,121.74664,63.16109,0.01804,63.15220,0
8192,16384,85.04430,34.65234,0.02475,34.63835,0
8192,32768,51.24814,20.40428,0.01918,20.39534,0
8192,65536,38.62181,13.05236,0.01649,13.04666,0
8192,131072,28.05199,8.99482,0.00844,8.98896,0
8192,262144,19.92022,6.34492,0.01783,6.33673,0
16384,8192,120.92536,61.24496,0.02126,61.23185,0
16384,16384,79.15560,33.91636,0.01498,33.90710,0
16384,32768,50.03133,20.06798,0.01881,20.05987,0
16384,65536,34.92919,12.96415,0.01095,12.96201,0
16384,131072,25.16474,8.91108,0.00505,8.90904,0
16384,262144,17.89171,6.29315,0.00818,6.28795,0
32768,8192,110.43212,60.50248,0.02239,60.49273,0
32768,16384,74.23285,33.55212,0.01465,33.54567,0
32768,32768,49.83949,19.90474,0.00912,19.89841,0
32768,65536,31.85861,12.84747,0.00972,12.83997,0
32768,131072,22.93926,8.84837,0.00690,8.84564,0
32768,262144,16.19284,6.29772,0.00887,6.29347,0
65536,8192,100.46386,60.18479,0.03822,60.16323,0
65536,16384,71.44011,33.37719,0.01805,33.37076,0
65536,32768,39.15828,19.87138,0.01699,19.86042,0
65536,65536,29.30870,12.79362,0.00866,12.78931,0
65536,131072,20.88954,8.83028,0.00770,8.82645,0
65536,262144,15.01009,6.27499,0.00376,6.27493,0
131072,8192,114.17090,60.02788,0.04246,60.00960,0
131072,16384,65.72261,33.42658,0.02509,33.41298,0
131072,32768,46.33328,19.83515,0.01309,19.82786,0
131072,65536,27.21320,12.75431,0.01784,12.74358,0
131072,131072,19.65882,8.79272,0.00718,8.78960,0
131072,262144,13.98963,6.26803,0.01285,6.26397,0
262144,8192,119.08330,60.19705,0.05803,60.16115,0
262144,16384,64.25216,33.40386,0.04747,33.37807,0
262144,32768,35.40752,19.81343,0.03195,19.80149,0
262144,65536,26.02579,12.76233,0.01125,12.75799,0
262144,131072,18.64712,8.78858,0.00898,8.78559,0
262144,262144,13.69054,6.25228,0.01000,6.24972,0
