rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.41258,0.02459,1.39909,0
8192,8192,18.53898,6.20027,0.01146,6.19305,0
8192,16384,14.41333,4.12383,0.00772,4.11949,0
8192,32768,10.76699,2.83232,0.01001,2.82605,0
8192,65536,7.87837,1.94402,0.01319,1.93717,1
8192,131072,5.69711,1.41900,0.00269,1.41837,1
16384,8192,18.26488,6.22292,0.01773,6.21242,0
16384,16384,13.13646,4.08066,0.00600,4.07697,0
16384,32768,9.69844,2.81401,0.00335,2.81287,0
16384,65536,7.21235,1.97998,0.01243,1.97399,0
16384,131072,5.31980,1.38561,0.00367,1.38479,1
32768,8192,18.26828,6.23290,0.01426,6.22476,0
32768,16384,12.43929,4.08245,0.00933,4.07608,0
32768,32768,8.94681,2.79217,0.00882,2.78806,0
32768,65536,6.78035,1.99853,0.00856,1.99380,0
32768,131072,4.97968,1.47017,0.00177,1.46985,0
65536,8192,18.23553,6.20629,0.01090,6.20032,0
65536,16384,11.58452,4.07967,0.01361,4.07253,0
65536,32768,8.60152,2.78424,0.00611,2.78402,0
65536,65536,6.63958,1.97913,0.00622,1.97549,0
65536,131072,5.23165,1.46642,0.00596,1.46420,0
131072,8192,17.77841,6.17742,0.01365,6.17242,0
131072,16384,11.11277,4.04962,0.00758,4.04723,0
131072,32768,8.35310,2.78556,0.00788,2.78690,0
131072,65536,6.63152,2.00041,0.00656,1.99676,0
131072,131072,5.05794,1.46649,0.00549,1.46382,0
