rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,14.3407,0.27376,14.16612,0,20,0.6964249914584939,No Tiling
262144,262144,104.69423,23.9896,0.07618,23.9445,1,20,0.4120211322015494,262144x262144
131072,262144,102.95746,24.09238,0.0473,24.07913,1,20,0.4097174607222105,131072x262144
16384,262144,128.09832,24.13099,0.10425,24.08541,1,20,0.4096106314984881,16384x262144
65536,262144,104.79074,24.15685,0.0609,24.12507,1,20,0.40893725904214995,65536x262144
32768,262144,126.65206,24.16832,0.0638,24.13098,1,20,0.4088371048337034,32768x262144
8192,262144,146.9011,24.48696,0.08778,24.4426,1,20,0.4036248189636127,8192x262144
262144,131072,135.59427,34.10328,0.02493,34.09643,1,20,0.28934524816821,262144x131072
65536,131072,152.3976,34.12686,0.03643,34.11395,1,20,0.2891966482919744,65536x131072
131072,131072,138.44205,34.14656,0.04863,34.12129,1,20,0.2891344377659813,131072x131072
32768,131072,155.69838,34.39845,0.0825,34.38003,1,20,0.2869584465167715,32768x131072
16384,131072,167.83111,34.57193,0.0393,34.55799,1,20,0.2854807238499693,16384x131072
8192,131072,189.81583,34.86474,0.05945,34.85336,1,20,0.28306137485740257,8192x131072
262144,65536,172.36041,51.43298,0.09823,51.38205,1,20,0.19200557393097395,262144x65536
65536,65536,189.11662,51.41424,0.04322,51.38917,1,20,0.19197897144476161,65536x65536
32768,65536,203.08283,51.43086,0.03054,51.41613,1,20,0.1918783074494327,32768x65536
16384,65536,210.97941,51.46357,0.02412,51.45889,1,20,0.19171886529227505,16384x65536
131072,65536,179.59543,51.55657,0.08299,51.51796,1,20,0.1914990422757423,131072x65536
8192,65536,230.4766,51.56456,0.02861,51.56297,1,20,0.19133188022334632,8192x65536
8192,32768,296.62427,78.66766,0.04988,78.64129,1,20,0.1254511465923308,8192x32768
16384,32768,259.29954,79.40354,0.03824,79.39452,1,20,0.12426096914497374,16384x32768
32768,32768,243.74858,79.51108,0.04498,79.48275,1,20,0.12412303298514457,32768x32768
65536,32768,272.32158,81.60268,0.04195,81.57598,1,20,0.12093805063696446,65536x32768
131072,32768,248.86173,82.35015,0.03454,82.33043,1,20,0.1198298126221374,131072x32768
262144,32768,250.3689,82.64527,0.07166,82.62224,1,20,0.11940659076781264,262144x32768
8192,16384,363.4912,121.95712,0.04508,121.93181,1,20,0.08091112565293666,8192x16384
16384,16384,334.85538,125.72125,0.02617,125.70527,1,20,0.07848231024840883,16384x16384
32768,16384,322.57122,131.77377,0.03451,131.76159,1,20,0.07487493130585324,32768x16384
65536,16384,300.08105,136.83238,0.05414,136.8168,1,20,0.07210839604493015,65536x16384
131072,16384,366.66074,139.55974,0.04241,139.5407,1,20,0.07070080628805789,131072x16384
262144,16384,353.628,140.42278,0.07923,140.39249,1,20,0.07027185001135032,262144x16384
8192,8192,496.39502,189.81079,0.06569,189.78186,1,20,0.051984104276351806,8192x8192
16384,8192,463.51271,208.22051,0.04609,208.21138,1,20,0.04738280875906015,16384x8192
32768,8192,533.33169,224.10139,0.05129,224.08457,1,20,0.04402641377761976,32768x8192
65536,8192,453.47731,238.06204,0.0695,238.01936,1,20,0.041448897266171965,65536x8192
131072,8192,518.06831,247.56122,0.0271,247.54106,1,20,0.03985455988594377,131072x8192
262144,8192,542.8643,250.56998,0.06881,250.54975,1,20,0.03937597223705073,262144x8192
