rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,3.16969,0.01360,3.16624,0
8192,8192,63.03351,21.36437,0.01309,21.35923,1
8192,16384,49.42782,13.65352,0.00536,13.65092,1
8192,32768,39.05328,9.07028,0.01558,9.06195,1
8192,65536,28.77879,6.21545,0.00468,6.21336,1
8192,131072,21.84748,4.34553,0.01375,4.33961,1
8192,262144,15.84647,3.03876,0.00893,3.03465,1
16384,8192,58.50766,21.49264,0.02251,21.47726,1
16384,16384,44.47015,13.53523,0.01750,13.52663,1
16384,32768,34.54928,8.98568,0.01238,8.98458,1
16384,65536,26.09218,6.23567,0.00862,6.23210,1
16384,131072,19.37213,4.38092,0.01064,4.37870,1
16384,262144,14.19545,3.19985,0.01053,3.19520,1
32768,8192,53.11967,21.36026,0.02997,21.33947,1
32768,16384,40.40684,13.47834,0.00894,13.47483,1
32768,32768,31.18490,8.94670,0.01383,8.94166,1
32768,65536,23.42253,6.23355,0.00545,6.23143,1
32768,131072,17.87686,4.44990,0.00951,4.44748,1
32768,262144,13.39627,3.12013,0.00684,3.11648,1
65536,8192,49.09174,21.23756,0.01378,21.23198,1
65536,16384,38.25506,13.42316,0.01603,13.41720,1
65536,32768,29.62788,8.92996,0.01814,8.92215,1
65536,65536,21.92848,6.17760,0.00976,6.17810,1
65536,131072,16.69572,4.42182,0.00976,4.41796,1
65536,262144,12.95425,3.01957,0.01010,3.01663,1
131072,8192,47.22026,21.22471,0.01703,21.21634,1
131072,16384,35.56744,13.40569,0.02216,13.40187,1
131072,32768,27.81736,8.91549,0.01877,8.91001,1
131072,65536,20.78599,6.19331,0.00899,6.18936,1
131072,131072,16.84368,4.48666,0.00710,4.48853,1
131072,262144,12.95335,3.31344,0.00800,3.31171,0
262144,8192,45.83428,21.19863,0.01620,21.19320,1
262144,16384,34.48382,13.40654,0.02047,13.40634,1
262144,32768,26.67850,8.87733,0.01564,8.87262,1
262144,65536,20.55339,6.14916,0.01766,6.14666,1
262144,131072,16.46276,4.45346,0.00911,4.45043,1
262144,262144,13.22612,3.39264,0.01722,3.38400,0
