rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,6.79229,0.12323,6.71535,0,19,0.7889706418876157,No Tiling
65536,262144,39.13961,8.98858,0.08636,8.94951,1,19,0.5920116296869884,65536x262144
8192,262144,52.62389,9.04379,0.0549,9.01726,1,19,0.5875636279756822,8192x262144
16384,262144,46.61457,9.07463,0.04794,9.05598,1,19,0.5850514245835349,16384x262144
32768,262144,42.62548,9.12879,0.05671,9.10188,1,19,0.5821010604402607,32768x262144
131072,262144,36.25824,9.24468,0.06572,9.2154,1,19,0.5749304425201294,131072x262144
262144,262144,36.25478,9.32021,0.10635,9.26721,1,19,0.5717161907413343,262144x262144
131072,131072,47.42149,12.64218,0.04137,12.61841,1,19,0.41987968373194406,131072x131072
8192,131072,69.4088,12.65173,0.05221,12.62536,1,19,0.4196485486354449,8192x131072
262144,131072,44.77047,12.6579,0.03609,12.64588,1,19,0.4189676005149503,262144x131072
32768,131072,56.49808,12.71002,0.03508,12.69663,1,19,0.41729293521194205,32768x131072
65536,131072,50.40594,12.72367,0.01709,12.71492,1,19,0.41669267285991574,65536x131072
16384,131072,61.8119,12.74347,0.02595,12.72941,1,19,0.4162183479045769,16384x131072
262144,65536,60.22556,18.09175,0.06196,18.04992,1,19,0.293531162464986,262144x65536
131072,65536,63.33862,18.16825,0.04852,18.12833,1,19,0.29226155966931316,131072x65536
65536,65536,69.47544,18.20237,0.03446,18.18405,1,19,0.291366004822908,65536x65536
32768,65536,74.99822,18.25827,0.02914,18.23983,1,19,0.2904749660495739,32768x65536
16384,65536,81.62808,18.38642,0.02117,18.37978,1,19,0.28826318922206906,16384x65536
8192,65536,91.22488,18.48754,0.03736,18.46935,1,19,0.28686521182391367,8192x65536
262144,32768,90.42981,27.27586,0.03655,27.25111,1,19,0.19442195198654294,262144x32768
65536,32768,102.53048,27.31413,0.03096,27.30051,1,19,0.19407014740750264,65536x32768
131072,32768,98.05032,27.34515,0.03783,27.33325,1,19,0.1938376885295382,131072x32768
32768,32768,108.11939,27.51062,0.03902,27.47936,1,19,0.19280703771849125,32768x32768
16384,32768,105.37813,27.55181,0.03425,27.53141,1,19,0.19244252292200073,16384x32768
8192,32768,115.91183,27.7248,0.03415,27.70638,1,19,0.19122721914591512,8192x32768
262144,16384,130.3768,43.13791,0.03431,43.11973,1,19,0.12287215156495646,262144x16384
131072,16384,126.29247,43.18411,0.03324,43.16821,1,19,0.12273416016091471,131072x16384
65536,16384,130.37381,43.22462,0.04096,43.20714,1,19,0.12262357564050756,65536x16384
16384,16384,135.67308,43.28541,0.02461,43.2759,1,19,0.12242874209432963,16384x16384
8192,16384,146.79874,43.37308,0.03295,43.37021,1,19,0.12216251662143209,8192x16384
32768,16384,127.38407,43.4105,0.03189,43.39974,1,19,0.12207939494568401,32768x16384
8192,8192,197.62529,70.06393,0.0315,70.04139,1,19,0.07564404418587352,8192x8192
16384,8192,180.42755,71.58068,0.02584,71.56398,1,19,0.0740346470389154,16384x8192
32768,8192,173.16131,72.19196,0.0356,72.17427,1,19,0.0734086260934818,32768x8192
262144,8192,178.85283,72.2181,0.03295,72.19683,1,19,0.07338568743253686,262144x8192
131072,8192,193.65308,72.22387,0.05407,72.20377,1,19,0.07337863383033878,131072x8192
65536,8192,182.11401,72.30681,0.04162,72.28297,1,19,0.07329823331830444,65536x8192
