rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.47594,0.00324,0.47427,0
8192,8192,2.32506,1.28510,0.00743,1.28193,0
8192,16384,1.60759,0.84807,0.00669,0.84410,0
8192,32768,1.05698,0.63253,0.00606,0.62937,0
8192,65536,0.57295,0.50010,0.00355,0.49796,0
16384,8192,2.48216,1.25924,0.00685,1.25544,0
16384,16384,1.46579,0.84322,0.00439,0.84059,0
16384,32768,0.95545,0.62718,0.00686,0.62288,0
16384,65536,0.52201,0.50074,0.00234,0.49979,0
32768,8192,1.98335,1.25727,0.00674,1.25327,0
32768,16384,1.37883,0.83699,0.00618,0.83258,0
32768,32768,0.89791,0.62256,0.00723,0.61775,0
32768,65536,0.51078,0.49811,0.00108,0.49750,0
65536,8192,2.20804,1.24122,0.00674,1.23695,0
65536,16384,1.34442,0.83148,0.00537,0.82827,0
65536,32768,0.87383,0.62459,0.00169,0.62355,0
65536,65536,0.50539,0.49136,0.00457,0.48853,0
