rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,3.67537,0.01641,3.6677,0,19,0.191018894675137,No Tiling
131072,262144,7.18517,4.90274,0.00802,4.89881,0,19,0.1430143238868215,131072x262144
262144,262144,6.8748,4.90688,0.00522,4.90645,0,19,0.14279163142394197,262144x262144
65536,262144,7.76035,4.9184,0.00323,4.91811,0,19,0.14245309681971327,65536x262144
32768,262144,8.53974,4.92689,0.00483,4.92743,0,19,0.14218365354758972,32768x262144
16384,262144,9.5132,4.96729,0.00258,4.96748,0,19,0.1410373066424022,16384x262144
8192,262144,10.55469,4.99645,0.00371,4.99555,0,19,0.14024481788792026,8192x262144
131072,131072,10.62171,6.61397,0.0066,6.6092,0,19,0.10600375234521577,131072x131072
262144,131072,10.0368,6.62748,0.00432,6.62399,0,19,0.10576706788506625,262144x131072
65536,131072,11.50366,6.63008,0.00531,6.62676,0,19,0.10572285702213449,65536x131072
32768,131072,12.73905,6.64225,0.00806,6.63555,0,19,0.10558280775519738,32768x131072
16384,131072,14.27126,6.68821,0.00875,6.68446,0,19,0.10481026141229059,16384x131072
8192,131072,15.75607,6.76475,0.00579,6.7616,0,19,0.10361452910553715,8192x131072
262144,65536,14.61032,9.87672,0.00536,9.87476,0,19,0.07094855976246511,262144x65536
131072,65536,15.2721,9.89898,0.00451,9.89709,0,19,0.0707884842918474,131072x65536
65536,65536,16.67635,9.9181,0.00225,9.91774,0,19,0.0706410936362518,65536x65536
32768,65536,17.97739,9.93845,0.00523,9.93696,0,19,0.0705044601165749,32768x65536
16384,65536,19.7753,10.03724,0.01128,10.03222,0,19,0.06983499165688153,16384x65536
8192,65536,21.84795,10.18652,0.00534,10.1852,0,19,0.06878608176569925,8192x65536
262144,32768,28.28929,16.42352,0.00743,16.42111,0,19,0.042664594537153704,262144x32768
131072,32768,29.24472,16.47122,0.00711,16.46749,0,19,0.04254443148287929,131072x32768
65536,32768,32.04164,16.4971,0.01246,16.48963,0,19,0.04248730869037086,65536x32768
32768,32768,32.12706,16.59864,0.00702,16.59652,0,19,0.04221366888962264,32768x32768
16384,32768,33.11452,16.78195,0.00981,16.7775,0,19,0.04175830725674266,16384x32768
8192,32768,31.91738,17.06722,0.01019,17.06208,0,19,0.0410618166132148,8192x32768
262144,16384,55.14969,29.67627,0.01779,29.66973,0,19,0.023613292065684452,262144x16384
131072,16384,53.08313,29.72554,0.01641,29.71629,0,19,0.02357629434899175,131072x16384
65536,16384,50.84103,29.79427,0.02402,29.77984,0,19,0.023525982678214524,65536x16384
32768,16384,52.44319,29.96868,0.01403,29.95957,0,19,0.023384848313911046,32768x16384
16384,16384,48.95047,30.2996,0.01564,30.29147,0,19,0.02312862333851741,16384x16384
8192,16384,54.51404,31.05537,0.02346,31.04843,0,19,0.02256474804040011,8192x16384
131072,8192,86.18385,56.19741,0.01152,56.1972,0,19,0.012466813293188984,131072x8192
262144,8192,97.92452,56.23792,0.02701,56.22591,0,19,0.012460447505429436,262144x8192
65536,8192,75.23414,56.31823,0.03308,56.29818,0,19,0.012444452023138226,65536x8192
32768,8192,86.82347,56.69697,0.03064,56.68092,0,19,0.012360420402491702,32768x8192
16384,8192,75.59244,57.46103,0.01307,57.45492,0,19,0.012193907849841232,16384x8192
8192,8192,74.2545,58.5834,0.01741,58.57467,0,19,0.011960801486376278,8192x8192
