rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,8.09468,0.12135,8.04597,0
8192,8192,276.66611,80.65766,0.02215,80.65590,0
8192,16384,192.82123,51.31578,0.03184,51.30609,0
8192,32768,153.38432,33.95442,0.04234,33.92903,0
8192,65536,120.42293,23.15103,0.02719,23.14547,0
8192,131072,92.31435,15.96004,0.01697,15.95472,0
8192,262144,70.06175,11.20190,0.07796,11.17471,0
16384,8192,242.90740,80.58226,0.04440,80.56272,0
16384,16384,175.94649,50.65462,0.04667,50.62845,0
16384,32768,146.07483,33.62498,0.02423,33.61244,0
16384,65536,108.89492,22.96837,0.03780,22.95021,0
16384,131072,82.42060,16.03308,0.04098,16.01163,0
16384,262144,61.17160,11.32381,0.09258,11.28412,0
32768,8192,231.27615,80.60272,0.03045,80.58624,0
32768,16384,169.66716,50.60507,0.03746,50.58648,0
32768,32768,141.56398,33.40152,0.02723,33.38381,0
32768,65536,100.47103,22.82801,0.04453,22.80645,0
32768,131072,75.03023,16.00095,0.04930,15.98039,0
32768,262144,56.17490,11.38488,0.14502,11.31634,0
65536,8192,231.11522,80.19391,0.04187,80.18945,0
65536,16384,167.86178,50.42220,0.04424,50.39782,0
65536,32768,130.53981,33.30607,0.03036,33.29202,0
65536,65536,92.48251,22.73006,0.04352,22.71045,0
65536,131072,67.79156,15.90010,0.02827,15.88618,0
65536,262144,51.32246,11.39221,0.11879,11.34090,0
131072,8192,241.02541,80.06925,0.10984,80.00935,0
131072,16384,161.59444,50.40534,0.03828,50.38012,0
131072,32768,125.20934,33.24054,0.04218,33.21589,0
131072,65536,84.12645,22.64621,0.03291,22.64081,0
131072,131072,63.12621,15.80203,0.07976,15.76043,0
131072,262144,48.37477,11.32784,0.13746,11.25676,0
262144,8192,230.45989,80.08262,0.05865,80.04980,0
262144,16384,153.17760,50.40454,0.06918,50.37037,0
262144,32768,123.95033,33.27026,0.08235,33.23028,0
262144,65536,79.65839,22.69099,0.05665,22.66945,0
262144,131072,60.36767,15.81225,0.08379,15.77005,0
262144,262144,46.33735,11.40923,0.13694,11.33918,0
