rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.77168,0.00355,1.77037,0
8192,8192,49.56237,11.28080,0.00674,11.27870,0
8192,16384,39.83368,7.69959,0.00959,7.69353,0
8192,32768,29.29141,5.19349,0.01203,5.18633,0
8192,65536,21.95879,3.20842,0.00459,3.20857,0
8192,131072,16.26179,2.19716,0.00721,2.19475,0
16384,8192,45.45924,11.24031,0.00928,11.23715,0
16384,16384,35.67932,7.74182,0.01207,7.73609,0
16384,32768,26.25441,5.14240,0.01542,5.13505,0
16384,65536,20.18650,3.30952,0.00807,3.30521,0
16384,131072,14.36277,2.06757,0.00584,2.06530,0
32768,8192,41.62421,11.15662,0.01733,11.14714,0
32768,16384,32.79085,7.72940,0.00472,7.72967,0
32768,32768,24.04694,5.21562,0.00754,5.21353,0
32768,65536,18.64612,3.31103,0.01335,3.31047,0
32768,131072,14.25588,2.28551,0.01083,2.28026,0
65536,8192,39.39493,11.11767,0.00908,11.11596,0
65536,16384,30.37617,7.70516,0.00806,7.70407,0
65536,32768,22.67885,5.22441,0.01437,5.22015,0
65536,65536,18.37701,3.55289,0.00824,3.55258,0
65536,131072,13.68848,2.12377,0.00667,2.12214,0
131072,8192,37.54975,11.11756,0.02024,11.12008,0
131072,16384,29.20235,7.66238,0.01731,7.65324,0
131072,32768,23.00101,5.20967,0.01293,5.20355,0
131072,65536,17.56510,3.55437,0.00627,3.55056,0
131072,131072,14.13826,2.00486,0.01923,1.99563,0
