rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,4.38094,0.07786,4.34896,0,18,1.3902602001398034,No Tiling
262144,262144,33.86213,4.64428,0.22791,4.53147,0,18,1.3342659225372782,262144x262144
65536,262144,34.58671,4.79975,0.25628,4.66263,0,18,1.2967329597244475,65536x262144
8192,262144,40.19839,4.94958,0.09194,4.90504,0,18,1.2326476440559098,8192x262144
32768,262144,34.01851,5.00001,0.15103,4.92662,0,18,1.2272482959919784,32768x262144
131072,262144,32.77182,5.05321,0.21432,4.94039,0,18,1.22382767352375,131072x262144
16384,262144,38.03897,5.18854,0.18568,5.09774,0,18,1.18605225060517,16384x262144
131072,131072,42.95223,6.91868,0.06134,6.89094,0,18,0.8774109192650059,131072x131072
16384,131072,50.11008,7.02637,0.04664,7.00368,0,18,0.8632870148264912,16384x131072
32768,131072,47.26801,7.0693,0.05701,7.0379,0,18,0.8590895011295984,32768x131072
8192,131072,56.13521,7.10893,0.03704,7.08929,0,18,0.8528619932320444,8192x131072
65536,131072,42.59495,7.21137,0.04775,7.18548,0,18,0.8414449695775369,65536x131072
262144,131072,40.88347,7.62577,0.06273,7.5951,0,18,0.7960640412897789,262144x131072
8192,65536,73.77565,10.6323,0.03121,10.62029,0,18,0.5693051696328443,8192x65536
16384,65536,66.49394,10.68098,0.03817,10.65671,0,18,0.5673595321633037,16384x65536
32768,65536,58.95535,10.74824,0.02929,10.73361,0,18,0.5632947349493787,32768x65536
131072,65536,51.29894,10.90529,0.05389,10.87054,0,18,0.5561992320528695,131072x65536
65536,65536,55.35842,10.96234,0.0316,10.94626,0,18,0.5523517621543796,65536x65536
262144,65536,51.67371,11.01051,0.04273,10.99135,0,18,0.5500858402289073,262144x65536
262144,32768,65.09005,15.94055,0.06856,15.90836,0,18,0.3800634383431102,262144x32768
131072,32768,69.65971,16.00471,0.05016,15.98584,0,18,0.37822135089554254,131072x32768
65536,32768,73.19123,16.0327,0.02565,16.02363,0,18,0.37732935670631434,65536x32768
16384,32768,88.84352,16.04573,0.03821,16.02887,0,18,0.3772060039166828,16384x32768
32768,32768,81.55076,16.05181,0.03808,16.03954,0,18,0.37695507477147105,32768x32768
8192,32768,101.13672,16.10054,0.03638,16.07934,0,18,0.37602202577966515,8192x32768
262144,16384,101.92849,23.22772,0.03194,23.21046,0,18,0.26049401864504196,262144x16384
131072,16384,88.51039,23.25069,0.01746,23.23976,0,18,0.2601655955138952,131072x16384
65536,16384,93.93357,23.26534,0.02645,23.25337,0,18,0.26001332280009304,65536x16384
32768,16384,101.9176,23.36448,0.04956,23.34934,0,18,0.25894462113276007,32768x16384
16384,16384,111.14745,23.42117,0.03642,23.40321,0,18,0.258348576968715,16384x16384
8192,16384,122.60644,23.61601,0.03418,23.60318,0,18,0.25615980558551854,8192x16384
131072,8192,131.27916,33.66719,0.00884,33.66387,0,18,0.17960460279819285,131072x8192
262144,8192,128.19386,33.68909,0.03277,33.66696,0,18,0.17958811844015615,262144x8192
65536,8192,135.95789,33.72662,0.03254,33.70927,0,18,0.17936270942681345,65536x8192
32768,8192,144.75966,33.81704,0.06183,33.79501,0,18,0.17890765530177385,32768x8192
16384,8192,142.22342,34.03288,0.03051,34.01558,0,18,0.17774754979923904,16384x8192
8192,8192,158.33061,34.29468,0.01996,34.29389,0,18,0.17630505025822385,8192x8192
