rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,0.81229,0.00445,0.80993,0,16,1.680342745669379,No Tiling
65536,65536,7.2235,0.92529,0.00327,0.92357,0,16,1.4735861927087281,65536x65536
8192,65536,7.2997,0.98118,0.00253,0.97969,0,16,1.389174126509406,8192x65536
32768,65536,6.94316,1.00283,0.00331,1.00113,0,16,1.3594238510483152,32768x65536
16384,65536,7.18087,1.00612,0.00283,1.00475,0,16,1.3545260014929086,16384x65536
8192,32768,10.44945,1.65616,0.00526,1.6525,0,16,0.8235763993948563,8192x32768
16384,32768,9.55154,1.66344,0.00601,1.66024,0,16,0.8197369055076374,16384x32768
65536,32768,9.03205,1.78961,0.0059,1.7865,0,16,0.761802406940946,65536x32768
32768,32768,9.41783,1.79925,0.0076,1.79534,0,16,0.7580513997348691,32768x32768
8192,16384,13.70001,2.63413,0.00626,2.62955,0,16,0.5175638417219677,8192x16384
65536,16384,11.72443,2.68631,0.0067,2.68341,0,16,0.5071755713811904,65536x16384
16384,16384,12.5411,2.68768,0.00644,2.68477,0,16,0.5069186559742548,16384x16384
32768,16384,11.74965,2.69461,0.00807,2.69096,0,16,0.5057525938698457,32768x16384
65536,8192,15.13949,3.97138,0.01308,3.96274,0,16,0.3434391355476261,65536x8192
32768,8192,15.91526,3.98879,0.01142,3.98669,0,16,0.34137592840175685,32768x8192
16384,8192,17.17345,4.01254,0.0082,4.00751,0,16,0.33960239650057017,16384x8192
8192,8192,18.78999,4.03691,0.01191,4.03567,0,16,0.33723272715559005,8192x8192
