rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,15.83278,0.04298,15.81365,0
8192,8192,598.78112,117.26336,0.02511,117.25735,0
8192,16384,461.48115,79.44444,0.04958,79.41159,0
8192,32768,371.29140,54.58369,0.03013,54.57384,0
8192,65536,304.80928,37.32487,0.03825,37.30677,0
8192,131072,247.52340,25.06226,0.05009,25.03196,0
8192,262144,187.07853,18.96096,0.07357,18.91914,0
16384,8192,563.25059,115.52692,0.10501,115.45244,0
16384,16384,422.62889,78.66921,0.07198,78.61769,0
16384,32768,349.07429,54.19405,0.08973,54.14530,0
16384,65536,289.95944,36.75345,0.03969,36.74124,0
16384,131072,215.59169,25.26502,0.01727,25.26787,0
16384,262144,172.93485,18.27879,0.08434,18.24269,0
32768,8192,533.65387,114.94092,0.10569,114.87306,0
32768,16384,376.60385,78.33442,0.06471,78.32810,0
32768,32768,302.29895,54.14544,0.06691,54.11517,0
32768,65536,256.38829,37.07328,0.02496,37.05700,0
32768,131072,199.37527,24.72668,0.02110,24.72156,0
32768,262144,172.96557,18.35992,0.09519,18.31528,0
65536,8192,455.89047,114.52417,0.12557,114.44284,0
65536,16384,371.22154,78.00096,0.10247,77.92856,0
65536,32768,307.36026,54.03614,0.02958,54.02764,0
65536,65536,234.50184,36.65075,0.01721,36.64494,0
65536,131072,197.85403,24.75760,0.02810,24.76485,0
65536,262144,144.71657,18.15114,0.11522,18.06627,0
131072,8192,483.15132,114.40474,0.12816,114.34442,0
131072,16384,355.91465,78.01158,0.04831,77.98306,0
131072,32768,287.00851,53.87129,0.05963,53.83867,0
131072,65536,237.67385,37.04383,0.05922,37.05227,0
131072,131072,172.75484,24.98446,0.03290,24.98288,0
131072,262144,158.61230,17.98851,0.15051,17.90212,0
262144,8192,462.83491,114.46347,0.07547,114.43967,0
262144,16384,338.33314,77.96559,0.12219,77.91340,0
262144,32768,272.86612,53.88569,0.10892,53.82386,0
262144,65536,218.52114,37.01029,0.07010,37.00812,0
262144,131072,183.72861,24.50717,0.03301,24.48433,0
262144,262144,146.69500,18.55629,0.14394,18.45324,0
