rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.73751,0.02948,1.71753,0
8192,8192,29.59583,8.49436,0.00858,8.48931,0
8192,16384,23.62872,6.26913,0.00717,6.26931,0
8192,32768,17.63664,4.53912,0.00460,4.53709,0
8192,65536,12.84136,3.03436,0.00447,3.03126,0
8192,131072,7.37976,1.77917,0.00666,1.77849,0
16384,8192,26.71896,8.44326,0.00421,8.44234,0
16384,16384,20.97464,6.20465,0.00469,6.20282,0
16384,32768,15.76266,4.48604,0.00736,4.48130,0
16384,65536,11.67065,3.01534,0.00659,3.01168,0
16384,131072,6.64306,1.80893,0.00817,1.80465,0
32768,8192,24.46235,8.38120,0.00796,8.37762,0
32768,16384,19.36067,6.20593,0.00527,6.20503,0
32768,32768,14.40902,4.46586,0.01122,4.46294,0
32768,65536,10.68553,2.99520,0.00638,2.99161,0
32768,131072,6.25910,1.79863,0.00577,1.79832,0
65536,8192,23.06328,8.34970,0.00353,8.34825,0
65536,16384,18.54221,6.16970,0.00659,6.16926,0
65536,32768,13.54216,4.45686,0.00858,4.45119,0
65536,65536,10.40917,2.99861,0.00483,2.99693,0
65536,131072,6.26525,1.81781,0.00404,1.81545,0
131072,8192,22.72641,8.33798,0.00640,8.33385,0
131072,16384,17.37511,6.16441,0.00909,6.16183,0
131072,32768,13.37193,4.46197,0.01393,4.46107,0
131072,65536,9.92585,2.99632,0.00657,2.99645,0
131072,131072,6.39572,1.84387,0.00627,1.84397,0
