rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,18.62354,0.25787,18.51731,0,20,0.6767491606502241,No Tiling
262144,262144,163.48929,39.93638,0.06071,39.92642,0,20,0.31386670780901466,262144x262144
131072,262144,175.38553,39.99515,0.02598,39.98355,0,20,0.3134182432525376,131072x262144
65536,262144,193.48915,40.15006,0.03993,40.12643,0,20,0.31230224069273044,65536x262144
32768,262144,211.30955,40.33382,0.03205,40.30951,0,20,0.31088380880839284,32768x262144
16384,262144,229.98271,40.62808,0.03892,40.60938,0,20,0.30858816362131114,16384x262144
8192,262144,253.74862,41.25652,0.02104,41.24652,0,20,0.30382136480847355,8192x262144
262144,131072,213.01591,55.57375,0.03773,55.56196,0,20,0.22554233148002698,262144x131072
131072,131072,229.65244,55.76605,0.01736,55.76439,0,20,0.22472359152498575,131072x131072
65536,131072,251.52715,55.95617,0.01225,55.9479,0,20,0.2239864945779913,65536x131072
32768,131072,275.46232,56.33998,0.0191,56.33271,0,20,0.22245643783159022,32768x131072
16384,131072,302.6422,56.74685,0.04863,56.71322,0,20,0.2209638951905746,16384x131072
8192,131072,321.35896,57.52715,0.02358,57.51733,0,20,0.21787475183566413,8192x131072
262144,65536,277.9079,75.88567,0.02105,75.87648,0,20,0.16515755607007598,262144x65536
131072,65536,297.92264,76.02111,0.04765,75.9922,0,20,0.1649060561478678,131072x65536
65536,65536,310.36948,76.25951,0.04684,76.2318,0,20,0.16438774894466612,65536x65536
32768,65536,352.20093,76.55268,0.01859,76.54771,0,20,0.1637093258570374,32768x65536
16384,65536,360.65936,77.03663,0.04198,77.02132,0,20,0.16270266466479671,16384x65536
8192,65536,401.71158,78.13248,0.07466,78.08612,0,20,0.1604840143165008,8192x65536
262144,32768,369.01554,107.09368,0.11235,107.04214,0,20,0.1170714075783612,262144x32768
131072,32768,389.69817,107.19303,0.07845,107.16119,0,20,0.11694134788910052,131072x32768
65536,32768,413.14337,107.65058,0.04446,107.63803,0,20,0.11642329388599922,65536x32768
32768,32768,432.47324,107.92061,0.08116,107.87982,0,20,0.11616235548038549,32768x32768
16384,32768,467.33838,108.70012,0.05258,108.68861,0,20,0.11529795072363148,16384x32768
8192,32768,506.21527,110.91529,0.05475,110.91305,0,20,0.11298556842499598,8192x32768
131072,16384,543.95867,163.2287,0.08365,163.17893,0,20,0.07679652023701834,131072x16384
262144,16384,527.23792,163.25859,0.11642,163.20718,0,20,0.07678322730654374,262144x16384
65536,16384,532.05788,163.61063,0.09478,163.554,0,20,0.07662040671582475,65536x16384
32768,16384,585.14904,164.33357,0.06697,164.33733,0,20,0.07625518803305371,32768x16384
16384,16384,643.25408,166.10012,0.08951,166.05964,0,20,0.07546429704412222,16384x16384
8192,16384,674.58671,169.03397,0.05329,169.02066,0,20,0.07414226166197671,8192x16384
65536,8192,799.19028,271.15605,0.03112,271.13497,0,20,0.046218951395314296,65536x8192
131072,8192,764.12798,271.63741,0.19053,271.53746,0,20,0.04615044274185963,131072x8192
262144,8192,774.74421,271.67058,0.05076,271.64594,0,20,0.04613201286939904,262144x8192
32768,8192,738.68314,272.76199,0.05874,272.72369,0,20,0.04594970829266794,32768x8192
16384,8192,868.02416,275.90269,0.03954,275.8802,0,20,0.04542397025955469,16384x8192
8192,8192,900.08104,282.75911,0.02617,282.75365,0,20,0.044319760328469675,8192x8192
