rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,2.20403,0.00931,2.20003,0,17,1.9440798534565438,No Tiling
65536,131072,24.42141,2.35107,0.05491,2.32146,0,17,1.842389703031713,65536x131072
32768,131072,23.25334,2.36777,0.0438,2.34208,0,17,1.826169046317803,32768x131072
8192,131072,26.39803,2.36513,0.02763,2.34939,0,17,1.8204870200349879,8192x131072
16384,131072,24.62013,2.39279,0.03705,2.37346,0,17,1.802024891929925,16384x131072
131072,131072,25.02136,2.45427,0.10779,2.39847,0,17,1.7832343118738196,131072x131072
131072,65536,31.19004,3.54934,0.06388,3.51283,0,17,1.2175465365531495,131072x65536
8192,65536,38.78976,3.79823,0.0258,3.78253,0,17,1.1307336623899877,8192x65536
32768,65536,32.67753,3.88913,0.04626,3.86346,0,17,1.1070475687596093,32768x65536
65536,65536,30.50783,3.89889,0.03884,3.87878,0,17,1.1026750679337318,65536x65536
16384,65536,35.05044,3.89383,0.02847,3.88063,0,17,1.1021493932686188,16384x65536
32768,32768,41.76138,6.80245,0.03169,6.78565,0,17,0.630305718685756,32768x32768
16384,32768,45.38937,6.80534,0.0139,6.79898,0,17,0.6290699487276032,16384x32768
8192,32768,51.90902,6.87565,0.01825,6.86376,0,17,0.6231328018462184,8192x32768
65536,32768,39.2452,6.98604,0.0397,6.9626,0,17,0.6142869043173527,65536x32768
131072,32768,38.08132,7.01043,0.03262,6.99584,0,17,0.6113681845210868,131072x32768
65536,16384,52.61699,11.33994,0.0159,11.33269,0,17,0.37740677632583264,65536x16384
16384,16384,63.00105,11.36775,0.02326,11.36219,0,17,0.3764269036162923,16384x16384
131072,16384,49.87456,11.40994,0.0371,11.39529,0,17,0.3753334930484437,131072x16384
32768,16384,56.49781,11.44286,0.01482,11.43793,0,17,0.37393426957500175,32768x16384
8192,16384,69.15759,11.45601,0.00953,11.44978,0,17,0.3735472646636005,8192x16384
131072,8192,63.77991,17.00198,0.01744,17.00212,0,17,0.25155886442396597,131072x8192
65536,8192,67.44013,17.01943,0.03195,17.0075,0,17,0.2514792885491695,65536x8192
32768,8192,72.28443,17.05718,0.01569,17.04809,0,17,0.25088053852367037,32768x8192
16384,8192,79.2371,17.1011,0.01656,17.09304,0,17,0.250220791620449,16384x8192
8192,8192,86.54295,17.20157,0.00937,17.19622,0,17,0.2487194278742654,8192x8192
