rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,20.99415,0.11314,20.93017,0
8192,8192,900.51549,153.63694,0.08724,153.61029,0
8192,16384,715.46876,111.94750,0.05752,111.93024,0
8192,32768,575.58855,78.49147,0.02509,78.48264,0
8192,65536,451.47343,50.54414,0.05342,50.50925,0
8192,131072,365.74887,30.97738,0.03924,30.96179,0
8192,262144,285.56851,22.15259,0.01710,22.14349,0
16384,8192,835.17132,152.37327,0.11150,152.33934,0
16384,16384,642.37942,111.10991,0.07459,111.09222,0
16384,32768,532.25864,77.91248,0.03419,77.88949,0
16384,65536,419.24904,50.21149,0.02639,50.20466,0
16384,131072,322.02790,30.62978,0.03390,30.62659,0
16384,262144,268.61035,21.64435,0.03353,21.63139,0
32768,8192,740.23316,151.43531,0.07365,151.39494,0
32768,16384,590.92219,110.80243,0.07638,110.78907,0
32768,32768,492.82179,77.69280,0.02547,77.68009,0
32768,65536,393.51118,50.42753,0.06088,50.39475,0
32768,131072,283.39940,30.27773,0.03374,30.26223,0
32768,262144,249.49029,20.82506,0.04147,20.80267,0
65536,8192,711.80317,150.70596,0.14666,150.67638,0
65536,16384,554.91854,110.55286,0.02925,110.54885,0
65536,32768,462.99310,77.72880,0.04219,77.71433,0
65536,65536,362.59573,50.12331,0.03377,50.12662,0
65536,131072,286.37081,30.53087,0.05979,30.48482,0
65536,262144,223.36853,21.42375,0.04694,21.39718,0
131072,8192,686.44472,150.84867,0.13993,150.74884,0
131072,16384,520.94025,110.37784,0.06332,110.35153,0
131072,32768,412.83987,77.66636,0.04638,77.64144,0
131072,65536,332.74238,49.59588,0.04340,49.56557,0
131072,131072,262.69158,30.96585,0.02625,30.95312,0
131072,262144,199.34939,20.55795,0.03579,20.54631,0
262144,8192,665.23438,150.77307,0.04083,150.74694,0
262144,16384,504.31258,110.36491,0.04083,110.34761,0
262144,32768,408.82970,77.66100,0.04734,77.63515,0
262144,65536,320.87766,50.55110,0.08930,50.48995,0
262144,131072,254.55627,30.37338,0.08783,30.32806,0
262144,262144,231.06338,21.12132,0.10395,21.05261,0
