rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,13.84236,0.17470,13.74449,0
8192,8192,588.27809,257.79669,0.05968,257.76123,0
8192,16384,437.65190,145.54462,0.03744,145.54083,0
8192,32768,326.39781,88.83269,0.02353,88.83083,0
8192,65536,248.28181,59.12102,0.02627,59.10891,0
8192,131072,196.38082,42.55531,0.05315,42.52698,0
8192,262144,147.08333,31.42180,0.06268,31.39135,0
16384,8192,593.79229,251.62414,0.02372,251.60936,0
16384,16384,402.53969,142.34704,0.02345,142.33732,0
16384,32768,302.65789,87.07268,0.01605,87.06558,0
16384,65536,222.51385,58.23390,0.02809,58.22026,0
16384,131072,180.12090,42.24618,0.03394,42.24596,0
16384,262144,146.63941,31.13139,0.04474,31.11085,0
32768,8192,605.70287,248.57325,0.03038,248.55863,0
32768,16384,393.89838,140.82416,0.02511,140.82391,0
32768,32768,275.49163,86.24996,0.03909,86.23694,0
32768,65536,216.88261,57.84180,0.04510,57.82163,0
32768,131072,174.92797,41.78799,0.05337,41.75314,0
32768,262144,135.71968,30.86517,0.03397,30.86748,0
65536,8192,595.39208,246.96512,0.03590,246.94903,0
65536,16384,384.38313,139.94055,0.02545,139.92934,0
65536,32768,263.47958,85.88934,0.01458,85.88860,0
65536,65536,199.55714,57.51862,0.02779,57.50144,0
65536,131072,155.75419,41.50035,0.01791,41.49625,0
65536,262144,123.87930,30.70713,0.04731,30.67925,0
131072,8192,574.24952,247.85052,0.31085,247.67536,0
131072,16384,398.19811,140.11068,0.04274,140.08162,0
131072,32768,256.49757,85.82402,0.03436,85.80722,0
131072,65536,197.79568,57.27776,0.02688,57.26182,0
131072,131072,146.27491,41.33496,0.02774,41.32581,0
131072,262144,113.33454,30.67987,0.01079,30.67646,0
262144,8192,565.74037,248.34811,0.39910,248.07761,0
262144,16384,388.30018,139.95592,0.17317,139.85639,0
262144,32768,256.09523,85.61045,0.03322,85.60009,0
262144,65536,186.68816,57.22157,0.02569,57.21118,0
262144,131072,137.41186,41.22599,0.04925,41.19913,0
262144,262144,89.51601,30.51403,0.04230,30.50269,0
