rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,1.80312,0.00903,1.79951,0,17,1.7380109029680302,No Tiling
65536,131072,16.5938,1.96162,0.01392,1.95498,0,17,1.5997953943262846,65536x131072
32768,131072,16.92904,2.02905,0.01263,2.02241,0,17,1.5464559609574717,32768x131072
131072,131072,16.33744,2.04938,0.02073,2.04061,0,17,1.5326632722568252,131072x131072
8192,131072,19.08819,2.09839,0.00867,2.09368,0,17,1.4938137633258186,8192x131072
16384,131072,17.54521,2.21752,0.00748,2.2126,0,17,1.413526168308777,16384x131072
65536,65536,23.02617,3.55409,0.00886,3.54963,0,17,0.8810969030575018,65536x65536
16384,65536,26.41336,3.60206,0.00533,3.60114,0,17,0.8684938658313757,16384x65536
8192,65536,29.17112,3.64323,0.00651,3.64229,0,17,0.8586817633961052,8192x65536
32768,65536,23.89933,3.68935,0.00677,3.68708,0,17,0.8482506482094232,32768x65536
131072,65536,22.21963,3.91478,0.01112,3.90815,0,17,0.8002681575681588,131072x65536
16384,32768,34.55026,6.27851,0.00758,6.27588,0,17,0.49834732340325183,16384x32768
8192,32768,39.16074,6.35387,0.00771,6.35207,0,17,0.492369888870872,8192x32768
65536,32768,29.79507,6.36971,0.00811,6.36581,0,17,0.4913071549417906,65536x32768
32768,32768,31.67609,6.38461,0.01021,6.38211,0,17,0.49005234945809456,32768x32768
131072,32768,29.60862,6.40085,0.0165,6.39054,0,17,0.48940590310052046,131072x32768
131072,16384,38.05174,9.91651,0.00994,9.91702,0,17,0.3153737715563748,131072x16384
65536,16384,39.68334,9.91911,0.00597,9.9177,0,17,0.31535214817951746,65536x16384
32768,16384,43.03955,9.92535,0.00942,9.92267,0,17,0.315194196723261,32768x16384
16384,16384,47.62574,9.97144,0.01385,9.97074,0,17,0.3136746119144617,16384x16384
8192,16384,52.7255,9.98265,0.00957,9.98275,0,17,0.31329723773509305,8192x16384
65536,8192,51.68176,14.17573,0.01406,14.16977,0,17,0.22072115496581807,65536x8192
131072,8192,49.14297,14.18917,0.01124,14.18713,0,17,0.2204510707944454,131072x8192
32768,8192,55.283,14.24246,0.00544,14.23974,0,17,0.21963659448838252,32768x8192
16384,8192,60.09136,14.26892,0.00771,14.26421,0,17,0.21925981179469456,16384x8192
8192,8192,66.12051,14.38637,0.0132,14.38058,0,17,0.21748552561857729,8192x8192
