rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,53.42705,0.13289,53.35077,0
8192,8192,2107.43730,395.44790,0.12980,395.49311,0
8192,16384,1635.94847,271.41141,0.21756,271.40296,0
8192,32768,1302.00467,194.62724,0.11625,194.57160,0
8192,65536,1010.13652,138.71604,0.28323,138.47672,0
8192,131072,847.99656,94.80090,0.09033,94.81537,0
8192,262144,661.85263,65.33925,0.06561,65.30358,0
16384,8192,1929.98659,389.05607,0.27234,388.93020,0
16384,16384,1502.97334,268.34527,0.06594,268.31365,0
16384,32768,1175.29881,193.41325,0.15249,193.36204,0
16384,65536,981.41649,137.44945,0.12515,137.37984,0
16384,131072,781.08587,93.05968,0.09949,93.00455,0
16384,262144,616.94422,63.98695,0.04971,63.97277,0
32768,8192,1814.39511,386.19709,0.10262,386.12709,0
32768,16384,1397.66363,266.84806,0.15330,266.75540,0
32768,32768,1078.75493,192.63785,0.13013,192.52975,0
32768,65536,896.58771,136.92184,0.10893,136.90917,0
32768,131072,733.93857,92.27622,0.05282,92.24582,0
32768,262144,570.14468,63.76357,0.04243,63.76178,0
65536,8192,1711.80781,385.01716,0.06607,385.01586,0
65536,16384,1297.61208,265.63438,0.11387,265.60292,0
65536,32768,1000.00243,191.96357,0.20251,191.85462,0
65536,65536,799.64171,136.23967,0.08124,136.21438,0
65536,131072,674.01298,92.42271,0.06164,92.40356,0
65536,262144,536.04557,63.55870,0.05175,63.51132,0
131072,8192,1605.43922,385.30534,0.10546,385.27168,0
131072,16384,1245.17852,266.03162,0.11224,266.01093,0
131072,32768,950.69170,191.86648,0.08925,191.85320,0
131072,65536,766.87739,136.61231,0.04794,136.60333,0
131072,131072,617.58281,91.98003,0.06064,91.97749,0
131072,262144,484.90982,63.88810,0.03547,63.87978,0
262144,8192,1564.44063,384.32010,0.15401,384.30759,0
262144,16384,1191.47396,265.54326,0.14565,265.45148,0
262144,32768,894.91467,191.87125,0.13970,191.83164,0
262144,65536,730.15571,136.66627,0.07677,136.62807,0
262144,131072,581.83020,92.50834,0.12482,92.51996,0
262144,262144,441.62083,63.76403,0.06324,63.75071,0
