rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.80602,0.00455,1.80378,0
8192,8192,67.28886,14.42309,0.01331,14.41600,0
8192,16384,53.35853,10.00364,0.01068,10.00168,0
8192,32768,39.54544,6.37994,0.01027,6.37375,0
8192,65536,29.73243,3.65817,0.00848,3.65655,0
8192,131072,19.35982,2.09183,0.01254,2.08556,0
16384,8192,60.71241,14.33766,0.00911,14.33203,0
16384,16384,48.06014,9.99313,0.00797,9.99226,0
16384,32768,35.12293,6.30084,0.00760,6.29699,0
16384,65536,27.10822,3.61170,0.00301,3.61112,0
16384,131072,17.72752,2.20686,0.00753,2.20405,0
32768,8192,55.77100,14.30910,0.00434,14.30658,0
32768,16384,43.47434,9.97134,0.01083,9.96811,0
32768,32768,32.09437,6.39594,0.01067,6.39341,0
32768,65536,24.40270,3.69063,0.00897,3.68587,0
32768,131072,17.71134,2.03795,0.01767,2.02892,0
65536,8192,52.01914,14.27586,0.00823,14.27807,0
65536,16384,40.21007,9.97231,0.01192,9.96800,0
65536,32768,30.49832,6.39299,0.01417,6.38800,0
65536,65536,23.85540,3.54359,0.00991,3.53602,0
65536,131072,17.15582,1.92659,0.03270,1.90997,0
131072,8192,49.77888,14.24897,0.01758,14.24860,0
131072,16384,38.68802,9.93960,0.02295,9.93684,0
131072,32768,29.91999,6.38846,0.01996,6.37437,0
131072,65536,23.12826,3.91902,0.01025,3.91373,0
131072,131072,17.20408,1.93311,0.02652,1.92011,0
