rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.63516,0.00305,0.63452,0
8192,8192,4.46983,1.78915,0.00567,1.78644,0
8192,16384,3.25532,1.29551,0.00654,1.29263,0
8192,32768,2.28348,0.94855,0.00265,0.94709,0
8192,65536,1.23109,0.66258,0.00281,0.66144,0
16384,8192,4.14198,1.77573,0.00480,1.77279,0
16384,16384,2.98824,1.28247,0.00397,1.28085,0
16384,32768,2.10735,0.95193,0.00134,0.95123,0
16384,65536,1.14061,0.66030,0.00224,0.65980,0
32768,8192,3.91607,1.76498,0.00325,1.76284,0
32768,16384,2.81660,1.27760,0.00256,1.27624,0
32768,32768,2.01981,0.94212,0.00266,0.94073,0
32768,65536,1.14961,0.65943,0.00296,0.65742,0
65536,8192,3.74567,1.75709,0.00354,1.75506,0
65536,16384,2.75180,1.27162,0.00313,1.27102,0
65536,32768,1.98936,0.94542,0.00251,0.94401,0
65536,65536,1.12062,0.65550,0.00299,0.65440,0
