rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,36.70853,0.01018,36.70193,0
8192,8192,1177.44950,40.86037,0.03322,40.85056,1
8192,16384,1068.37766,33.77587,0.02462,33.75857,1
8192,32768,904.10641,32.16011,0.03991,32.15092,0
8192,65536,761.94212,33.07415,0.07024,33.02707,0
8192,131072,663.08488,36.85762,0.04367,36.82692,0
16384,8192,1138.13939,41.77610,0.06705,41.72392,1
16384,16384,1005.80820,33.70204,0.03472,33.69202,1
16384,32768,813.61847,32.03668,0.04835,32.01569,0
16384,65536,719.30255,33.09178,0.04201,33.06338,0
16384,131072,670.68785,36.68979,0.02603,36.67427,0
32768,8192,1046.03613,40.85540,0.06388,40.82220,1
32768,16384,908.41364,33.00271,0.02678,32.98657,1
32768,32768,717.68061,31.81012,0.04153,31.78672,0
32768,65536,707.57428,33.02003,0.03216,33.00256,0
32768,131072,710.01868,36.81920,0.04405,36.79211,0
65536,8192,970.56553,41.04869,0.07232,41.05666,1
65536,16384,853.15990,32.95103,0.02981,32.93754,1
65536,32768,740.44723,31.88114,0.03500,31.84935,0
65536,65536,736.33538,32.98746,0.03747,32.96829,0
65536,131072,688.98720,36.78184,0.02229,36.76974,0
131072,8192,952.31507,38.61994,0.09572,38.55128,1
131072,16384,810.81221,32.58345,0.04054,32.56066,1
131072,32768,773.20498,31.74652,0.03318,31.72322,0
131072,65536,741.16487,32.97380,0.04068,32.95012,0
131072,131072,803.88333,36.96431,0.03894,36.97528,0
