rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,5.65627,0.04112,5.63271,0
8192,8192,180.05050,71.02813,0.01524,71.02215,0
8192,16384,122.86361,41.69184,0.02315,41.68506,0
8192,32768,93.77388,25.96047,0.03110,25.94455,0
8192,65536,72.74069,17.04323,0.02701,17.02278,0
8192,131072,53.91833,11.61012,0.04841,11.59006,0
8192,262144,40.47601,8.12521,0.04480,8.10973,0
16384,8192,162.39762,69.42076,0.02007,69.41438,0
16384,16384,120.63037,41.05389,0.01889,41.04706,0
16384,32768,90.67439,25.64770,0.01203,25.64493,0
16384,65536,65.34649,16.87575,0.02339,16.86007,0
16384,131072,48.16905,11.53469,0.02559,11.52563,0
16384,262144,35.71577,8.08623,0.03136,8.07014,0
32768,8192,172.81962,68.87210,0.03419,68.86606,0
32768,16384,109.15322,40.64798,0.02276,40.64455,0
32768,32768,79.36525,25.44341,0.02414,25.43337,0
32768,65536,59.60811,16.79879,0.04069,16.78320,0
32768,131072,43.75826,11.57008,0.01555,11.56209,0
32768,262144,32.59198,8.02062,0.04283,8.00511,0
65536,8192,153.30024,68.40692,0.01195,68.40336,0
65536,16384,113.03219,40.50849,0.02310,40.49680,0
65536,32768,82.64492,25.35612,0.03380,25.34577,0
65536,65536,54.65962,16.71559,0.02970,16.69947,0
65536,131072,40.09105,11.47668,0.03579,11.46211,0
65536,262144,29.84250,8.15712,0.03599,8.14237,0
131072,8192,174.51778,68.38418,0.02079,68.37731,0
131072,16384,107.51450,40.38195,0.01941,40.36820,0
131072,32768,82.91428,25.28006,0.02028,25.27144,0
131072,65536,51.27029,16.72845,0.01562,16.72085,0
131072,131072,36.72487,11.46377,0.04291,11.44304,0
131072,262144,28.65652,8.10668,0.05866,8.06805,0
262144,8192,166.17914,68.24557,0.05472,68.21327,0
262144,16384,108.96789,40.26594,0.00779,40.26190,0
262144,32768,80.02795,25.25622,0.03162,25.23523,0
262144,65536,47.51390,16.64662,0.03237,16.62984,0
262144,131072,35.91997,11.48608,0.02078,11.47867,0
262144,262144,27.17264,8.17563,0.03408,8.15342,0
