rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,2.43862,0.02631,2.42838,0
8192,8192,46.58662,18.97202,0.01099,18.96532,0
8192,16384,32.42234,11.68261,0.00722,11.68004,0
8192,32768,24.70421,7.66304,0.00953,7.65760,0
8192,65536,18.04104,5.23201,0.01593,5.22148,0
8192,131072,13.15487,3.62703,0.01214,3.62044,0
8192,262144,8.57751,2.52157,0.00955,2.51808,0
16384,8192,45.27472,18.70744,0.00942,18.70415,0
16384,16384,29.72824,11.53881,0.00673,11.53647,0
16384,32768,22.53790,7.59152,0.00804,7.58627,0
16384,65536,16.38356,5.18644,0.01877,5.18205,0
16384,131072,11.88390,3.60742,0.00740,3.60341,0
16384,262144,7.83224,2.48547,0.00565,2.48375,0
32768,8192,38.29224,18.51893,0.01146,18.51163,0
32768,16384,26.85206,11.45445,0.01224,11.44429,0
32768,32768,20.68537,7.54397,0.00808,7.54035,0
32768,65536,14.94288,5.17400,0.01210,5.16965,0
32768,131072,10.87599,3.60978,0.01492,3.60087,0
32768,262144,7.06389,2.53079,0.00518,2.52797,0
65536,8192,42.38245,18.43397,0.00815,18.42878,0
65536,16384,25.10128,11.41866,0.00531,11.41570,0
65536,32768,19.11394,7.53300,0.00767,7.52977,0
65536,65536,13.90625,5.16770,0.00609,5.16448,0
65536,131072,10.17291,3.61208,0.00743,3.61088,0
65536,262144,6.94431,2.52882,0.01127,2.52420,0
131072,8192,43.37487,18.45722,0.01037,18.45168,0
131072,16384,23.82197,11.38766,0.00623,11.38468,0
131072,32768,17.99361,7.50869,0.00675,7.50586,0
131072,65536,13.13364,5.13106,0.01249,5.12572,0
131072,131072,10.06549,3.58737,0.01683,3.57928,0
131072,262144,6.69912,2.50627,0.01259,2.49979,0
262144,8192,37.87908,18.39987,0.01027,18.39526,0
262144,16384,23.18094,11.37844,0.01265,11.37363,0
262144,32768,17.33382,7.49527,0.00559,7.49154,0
262144,65536,13.10935,5.14563,0.01184,5.13818,0
262144,131072,9.73816,3.57823,0.00843,3.57453,0
262144,262144,7.14008,2.51493,0.01372,2.50753,0
