rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,0.65808,0.00474,0.65613,0,16,0.30121469830673797,No Tiling
32768,65536,1.02123,0.68772,0.00388,0.68611,0,16,0.28805293611811517,32768x65536
8192,65536,1.13501,0.6952,0.00332,0.6932,0,16,0.2851067512983266,8192x65536
16384,65536,1.0472,0.69528,0.00181,0.69473,0,16,0.2844788622918256,16384x65536
65536,65536,1.02498,0.706,0.00344,0.70444,0,16,0.2805576060416785,65536x65536
65536,32768,1.84002,0.97058,0.0019,0.97006,0,16,0.20373585139063563,65536x32768
32768,32768,1.86882,0.97281,0.00246,0.97232,0,16,0.20326230047720914,32768x32768
16384,32768,1.97419,0.97965,0.00236,0.97846,0,16,0.2019867955767226,16384x32768
8192,32768,2.11983,0.98256,0.00182,0.9819,0,16,0.20127915266320398,8192x32768
65536,16384,2.62582,1.28558,0.00384,1.28309,0,16,0.15403128385382164,65536x16384
32768,16384,2.68621,1.2917,0.00497,1.28917,0,16,0.15330483954792617,32768x16384
16384,16384,2.85533,1.29463,0.00377,1.29323,0,16,0.1528235503352072,16384x16384
8192,16384,3.12336,1.30759,0.00497,1.30513,0,16,0.15143012573460116,8192x16384
32768,8192,3.74115,1.73415,0.00476,1.7314,0,16,0.11414808825228139,32768x8192
16384,8192,4.00019,1.74338,0.00542,1.74075,0,16,0.11353497055866724,16384x8192
65536,8192,3.50796,1.74512,0.00215,1.74457,0,16,0.11328636856073417,65536x8192
8192,8192,4.32061,1.77169,0.00872,1.76601,0,16,0.1119110310813642,8192x8192
