rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.31578,0.00695,1.31183,0
8192,8192,12.63905,5.30928,0.00605,5.30656,0
8192,16384,9.60844,3.60932,0.00764,3.60741,0
8192,32768,6.89423,2.64610,0.00890,2.64163,0
8192,65536,4.85351,1.98643,0.00941,1.98099,0
8192,131072,2.66269,1.39598,0.00259,1.39528,0
16384,8192,11.34084,5.24752,0.00596,5.24501,0
16384,16384,8.60173,3.55226,0.01410,3.54133,0
16384,32768,6.26616,2.63336,0.00981,2.62888,0
16384,65536,4.48467,1.97154,0.00860,1.96697,0
16384,131072,2.34434,1.39392,0.00329,1.39244,0
32768,8192,10.47431,5.20586,0.00840,5.20051,0
32768,16384,8.03652,3.54240,0.01237,3.53330,0
32768,32768,5.77096,2.61197,0.00681,2.60867,0
32768,65536,4.03308,1.97672,0.00439,1.97493,0
32768,131072,2.14960,1.39348,0.00309,1.39352,0
65536,8192,12.37495,5.17612,0.00754,5.17373,0
65536,16384,7.54316,3.53003,0.01108,3.52645,0
65536,32768,5.48060,2.60961,0.01036,2.60253,0
65536,65536,3.83576,1.96062,0.00702,1.95706,0
65536,131072,2.10677,1.38794,0.00284,1.38779,0
131072,8192,12.14438,5.17243,0.00641,5.16985,0
131072,16384,7.16293,3.52943,0.00796,3.53062,0
131072,32768,5.35245,2.60033,0.00464,2.59848,0
131072,65536,3.80708,1.95634,0.00300,1.95602,0
131072,131072,2.13246,1.38921,0.00471,1.38687,0
