rows,cols,preprocess,mean,stdev,median,exitcode,k,gflops,Tile Size
0,0,0.0,0.30248,0.00662,0.29904,0,15,0.4396000535045479,No Tiling
8192,32768,0.68325,0.32198,0.00256,0.32116,0,15,0.40932245609664963,8192x32768
16384,32768,0.67936,0.32816,0.0017,0.32748,0,15,0.40142298766336876,16384x32768
32768,32768,0.69044,0.32984,0.00213,0.3287,0,15,0.39993306966839065,32768x32768
32768,16384,1.1014,0.47763,0.0025,0.47648,0,15,0.27589405641370046,32768x16384
8192,16384,1.19548,0.47937,0.00358,0.47732,0,15,0.2754085309645521,8192x16384
16384,16384,1.12419,0.48009,0.00238,0.4791,0,15,0.27438530578167397,16384x16384
32768,8192,1.51246,0.6666,0.00395,0.66426,0,15,0.19790142414114956,32768x8192
16384,8192,1.57938,0.67109,0.00564,0.66741,0,15,0.1969673813697727,16384x8192
8192,8192,1.66958,0.6776,0.00247,0.67715,0,15,0.19413423909030494,8192x8192
