rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.62047,0.00665,0.61603,0
8192,8192,5.15943,1.93020,0.00513,1.92776,0
8192,16384,3.67253,1.36086,0.00498,1.35941,0
8192,32768,2.63155,0.96338,0.00258,0.96221,0
8192,65536,1.54134,0.65711,0.00327,0.65504,0
16384,8192,4.74698,1.91092,0.00335,1.91013,0
16384,16384,3.37669,1.35140,0.00422,1.34939,0
16384,32768,2.46501,0.95734,0.00191,0.95650,0
16384,65536,1.41780,0.65198,0.00389,0.65046,0
32768,8192,4.40554,1.90890,0.00708,1.90375,0
32768,16384,3.21708,1.34915,0.00360,1.34720,0
32768,32768,2.35034,0.95584,0.00324,0.95426,0
32768,65536,1.41511,0.65119,0.00398,0.64908,0
65536,8192,4.20732,1.89462,0.00649,1.89064,0
65536,16384,3.13227,1.34519,0.00388,1.34280,0
65536,32768,2.27486,0.97100,0.00214,0.96987,0
65536,65536,1.45774,0.65303,0.00212,0.65280,0
