rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,4.17460,0.02201,4.15771,0
8192,8192,116.99832,62.77788,0.01481,62.76804,0
8192,16384,86.07737,34.66697,0.05422,34.64225,0
8192,32768,51.69679,20.40666,0.01928,20.40009,0
8192,65536,38.88602,13.04432,0.01225,13.03630,0
8192,131072,28.17972,8.99437,0.00617,8.99221,0
8192,262144,20.13823,6.35508,0.01115,6.35318,0
16384,8192,112.08473,61.23271,0.01290,61.23165,0
16384,16384,74.28934,33.92247,0.01397,33.91877,0
16384,32768,49.35312,20.08358,0.01429,20.07455,0
16384,65536,35.11655,12.92421,0.01785,12.91557,0
16384,131072,25.22126,8.91951,0.00706,8.91614,0
16384,262144,18.24624,6.30871,0.01484,6.30715,0
32768,8192,116.76099,60.54473,0.05673,60.50936,0
32768,16384,74.02179,33.57260,0.01355,33.56425,0
32768,32768,48.16550,19.91788,0.02281,19.90680,0
32768,65536,32.08891,12.82680,0.00927,12.82325,0
32768,131072,22.95386,8.84799,0.00668,8.84486,0
32768,262144,16.31713,6.28709,0.01264,6.27882,0
65536,8192,100.92216,60.13551,0.03089,60.12103,0
65536,16384,70.85401,33.37997,0.00778,33.37614,0
65536,32768,39.12902,19.85484,0.01583,19.84580,0
65536,65536,29.28228,12.79141,0.01192,12.78383,0
65536,131072,20.81390,8.81736,0.01089,8.81248,0
65536,262144,15.03827,6.27009,0.01141,6.26793,0
131072,8192,115.06433,60.02834,0.02729,60.01909,0
131072,16384,65.52696,33.40251,0.02748,33.38467,0
131072,32768,44.15027,19.80766,0.02232,19.79997,0
131072,65536,27.27479,12.76864,0.00700,12.76457,0
131072,131072,19.66388,8.79916,0.00713,8.79590,0
131072,262144,14.00812,6.29977,0.01502,6.29554,0
262144,8192,119.67157,60.23603,0.13568,60.16035,0
262144,16384,63.95543,33.40836,0.05799,33.37161,0
262144,32768,35.43058,19.78943,0.02998,19.77563,0
262144,65536,25.98532,12.73482,0.01620,12.72598,0
262144,131072,18.65316,8.79284,0.00657,8.79007,0
262144,262144,13.70051,6.23590,0.02209,6.22721,0
