rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,2.97703,0.03532,2.95049,0
8192,8192,54.64164,19.17050,0.01212,19.16497,0
8192,16384,42.27882,12.51771,0.02035,12.50384,0
8192,32768,33.39229,8.31528,0.00818,8.31126,0
8192,65536,25.21107,5.70521,0.00836,5.69963,0
8192,131072,18.97745,4.00855,0.00651,4.00544,0
8192,262144,14.05693,2.81819,0.01175,2.81028,0
16384,8192,50.11956,19.69650,0.02073,19.68308,0
16384,16384,38.51072,12.39808,0.01826,12.39329,0
16384,32768,30.09874,8.24473,0.02029,8.23709,0
16384,65536,22.85054,5.71520,0.01513,5.71099,0
16384,131072,17.02231,4.03035,0.00621,4.02706,0
16384,262144,12.45904,2.96171,0.00757,2.95738,0
32768,8192,46.29098,20.04555,0.01141,20.04141,0
32768,16384,35.59804,12.48672,0.01303,12.47974,0
32768,32768,27.13034,8.20028,0.01333,8.19442,0
32768,65536,20.50468,5.67099,0.01258,5.67084,0
32768,131072,15.44557,4.09555,0.00913,4.09528,0
32768,262144,11.52302,2.89804,0.01020,2.89417,0
65536,8192,43.43325,20.18541,0.01830,20.17561,0
65536,16384,33.04800,12.54978,0.02083,12.53358,0
65536,32768,25.95137,8.22940,0.02177,8.21632,0
65536,65536,18.83640,5.67184,0.00643,5.66961,0
65536,131072,14.59312,4.10460,0.00555,4.10273,0
65536,262144,11.41251,3.04490,0.00559,3.04192,0
131072,8192,41.15755,20.14978,0.02392,20.13745,0
131072,16384,31.36185,12.52288,0.02075,12.51156,0
131072,32768,24.35688,8.19642,0.01223,8.19628,0
131072,65536,18.26475,5.66158,0.02395,5.64966,0
131072,131072,14.24155,4.10269,0.01301,4.09708,0
131072,262144,11.38904,3.05473,0.00989,3.05264,0
262144,8192,40.36282,20.17411,0.01385,20.17138,0
262144,16384,30.36101,12.50860,0.01710,12.49915,0
262144,32768,23.58478,8.18256,0.01427,8.17382,0
262144,65536,18.13671,5.63191,0.00989,5.62742,0
262144,131072,14.39494,4.07774,0.01627,4.06769,0
262144,262144,11.81311,3.11339,0.01194,3.10484,0
