rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,15.93789,0.14979,15.92624,0
8192,8192,598.83503,233.29560,0.28212,233.15046,1
8192,16384,442.48290,142.11819,0.14462,142.00749,1
8192,32768,344.93215,88.68296,0.16856,88.61841,1
8192,65536,286.35361,57.24252,0.25758,57.13571,1
8192,131072,215.79839,38.54493,0.05756,38.53668,1
8192,262144,170.53840,27.15295,0.06712,27.11600,1
16384,8192,562.63763,243.31677,0.03329,243.30001,1
16384,16384,418.68409,142.88936,0.06273,142.84607,1
16384,32768,306.64100,88.25526,0.08823,88.23874,1
16384,65536,264.63985,56.72395,0.23542,56.61957,1
16384,131072,207.06969,38.20281,0.02946,38.20449,1
16384,262144,161.76086,26.99849,0.06527,26.95860,1
32768,8192,593.11239,250.51307,0.03602,250.50526,1
32768,16384,384.65781,145.22467,0.09129,145.18327,1
32768,32768,298.17419,87.87792,0.05928,87.84520,1
32768,65536,239.54043,56.13387,0.08575,56.06669,1
32768,131072,190.74050,37.89341,0.06001,37.84727,1
32768,262144,146.60648,26.95947,0.09078,26.90134,1
65536,8192,535.27322,255.22067,0.05942,255.19342,1
65536,16384,418.56752,146.19118,0.17554,146.08503,1
65536,32768,292.51815,87.93243,0.06809,87.89102,1
65536,65536,234.16511,55.95954,0.05626,55.93298,1
65536,131072,179.00904,37.71022,0.06399,37.72478,1
65536,262144,137.35038,26.64821,0.06921,26.62153,1
131072,8192,591.27750,256.93599,0.11159,256.87496,1
131072,16384,375.78752,146.09783,0.04466,146.07110,1
131072,32768,281.88001,87.69919,0.07530,87.65653,1
131072,65536,218.79197,55.61079,0.07158,55.56255,1
131072,131072,169.06829,37.48219,0.04285,37.45223,1
131072,262144,125.70113,26.73931,0.09988,26.68284,1
262144,8192,579.66820,257.28994,0.09463,257.22578,1
262144,16384,407.60701,146.26766,0.15802,146.17133,1
262144,32768,268.09980,87.62565,0.18126,87.51610,1
262144,65536,211.87874,55.60880,0.09456,55.61195,1
262144,131072,156.20306,37.37825,0.05823,37.36481,1
262144,262144,125.01543,26.68998,0.10018,26.65155,1
