rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.75952,0.03445,1.73909,0
8192,8192,27.55828,8.05761,0.00935,8.05413,0
8192,16384,21.13757,5.47564,0.01549,5.46734,0
8192,32768,15.80418,3.76923,0.00813,3.76487,0
8192,65536,11.67259,2.56687,0.01494,2.55998,0
8192,131072,7.97306,1.76694,0.00814,1.76179,0
16384,8192,24.77716,7.98351,0.00497,7.98322,0
16384,16384,19.28064,5.41829,0.00775,5.41508,0
16384,32768,14.22931,3.74999,0.01249,3.74518,0
16384,65536,10.46025,2.60330,0.00623,2.60112,0
16384,131072,7.23324,1.72223,0.00491,1.72014,0
32768,8192,22.90530,7.93245,0.00959,7.92704,0
32768,16384,18.06053,5.42224,0.01576,5.41270,0
32768,32768,13.11390,3.74444,0.00642,3.74172,0
32768,65536,9.88727,2.59963,0.00597,2.59542,0
32768,131072,7.23797,1.66684,0.00329,1.66508,0
65536,8192,21.62749,7.90496,0.01992,7.89144,0
65536,16384,16.74005,5.40341,0.02069,5.38626,0
65536,32768,12.53422,3.73940,0.00916,3.73534,0
65536,65536,9.40829,2.58852,0.00802,2.58656,0
65536,131072,7.06250,1.81631,0.00714,1.81310,0
131072,8192,21.01068,7.89524,0.01162,7.89446,0
131072,16384,16.06839,5.40148,0.00918,5.39755,0
131072,32768,12.51240,3.71760,0.00873,3.71146,0
131072,65536,9.58273,2.59857,0.01257,2.59322,0
131072,131072,7.32260,1.84326,0.00626,1.84017,0
