rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,7.02573,0.05466,7.00420,0
8192,8192,157.55909,34.25542,0.04055,34.24642,0
8192,16384,123.06772,23.65331,0.02200,23.63904,0
8192,32768,97.96907,16.33428,0.02489,16.32502,0
8192,65536,73.27000,11.52808,0.02918,11.52413,0
8192,131072,56.38494,8.22981,0.02732,8.21240,0
8192,262144,40.56745,6.34929,0.04539,6.32972,0
16384,8192,151.59521,33.90135,0.04523,33.87226,0
16384,16384,110.55730,23.36770,0.01958,23.35782,0
16384,32768,88.50592,16.22351,0.04313,16.19212,0
16384,65536,66.36962,11.35858,0.01931,11.36046,0
16384,131072,50.42228,8.25516,0.01418,8.24763,0
16384,262144,36.82978,6.03025,0.10087,5.98087,0
32768,8192,142.13783,33.82714,0.01776,33.82338,0
32768,16384,102.21389,23.34026,0.03087,23.33155,0
32768,32768,80.51315,16.04296,0.02450,16.02754,0
32768,65536,58.50905,11.17616,0.02055,11.16932,0
32768,131072,46.59125,8.23009,0.03719,8.21168,0
32768,262144,33.24752,6.33636,0.07950,6.29697,0
65536,8192,134.29264,33.70139,0.02724,33.69022,0
65536,16384,94.17510,23.23236,0.04269,23.21452,0
65536,32768,73.44990,16.00135,0.03406,15.97218,0
65536,65536,54.99529,10.95366,0.03206,10.93621,0
65536,131072,42.93891,7.97074,0.03057,7.95559,0
65536,262144,33.00485,6.79686,0.10881,6.73879,0
131072,8192,128.78701,33.59850,0.03257,33.58760,0
131072,16384,88.08821,23.18828,0.03483,23.17228,0
131072,32768,69.28298,15.94485,0.05026,15.92155,0
131072,65536,50.75292,10.88480,0.04360,10.86531,0
131072,131072,42.00746,8.38261,0.03987,8.36492,0
131072,262144,31.40543,6.36507,0.09305,6.31417,0
262144,8192,124.42517,33.61817,0.04287,33.61385,0
262144,16384,101.53250,23.21002,0.03489,23.19021,0
262144,32768,65.03441,15.97917,0.03813,15.95693,0
262144,65536,50.88323,10.99511,0.05774,10.96216,0
262144,131072,39.88453,7.63941,0.06358,7.60447,0
262144,262144,32.39070,7.19527,0.14864,7.11809,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,4.36715,0.08409,4.33134,0
8192,8192,157.62785,34.27519,0.02381,34.26294,0
8192,16384,122.73552,23.58197,0.02128,23.57073,0
8192,32768,97.42830,16.15283,0.01985,16.15205,0
8192,65536,74.29242,10.59932,0.02479,10.58853,0
8192,131072,56.73706,7.09070,0.02931,7.08208,0
8192,262144,40.30104,4.88806,0.04791,4.86427,0
16384,8192,152.77533,33.97744,0.05214,33.94398,0
16384,16384,110.58378,23.37831,0.02097,23.36662,0
16384,32768,88.49145,16.05503,0.06560,16.02855,0
16384,65536,66.45439,10.66485,0.02789,10.64867,0
16384,131072,50.51705,7.04252,0.02415,7.02979,0
16384,262144,37.15383,5.13408,0.11304,5.07828,0
32768,8192,142.15327,33.76257,0.04074,33.73893,0
32768,16384,101.41240,23.28146,0.02095,23.27148,0
32768,32768,79.90033,16.06455,0.01445,16.06074,0
32768,65536,58.73183,10.73792,0.01462,10.73298,0
32768,131072,46.65695,7.06326,0.04841,7.03996,0
32768,262144,33.28040,4.93536,0.09555,4.88780,0
65536,8192,134.20161,33.68649,0.02673,33.67565,0
65536,16384,93.58878,23.27867,0.03402,23.25696,0
65536,32768,73.01881,15.99632,0.04449,15.96367,0
65536,65536,54.43804,10.94075,0.02607,10.93481,0
65536,131072,41.96827,7.25495,0.12659,7.19314,0
65536,262144,33.05583,4.74328,0.16856,4.64851,0
131072,8192,128.67307,33.64298,0.02327,33.63839,0
131072,16384,87.35624,23.19870,0.03877,23.18221,0
131072,32768,68.64546,15.95652,0.04687,15.93602,0
131072,65536,50.86513,10.89275,0.04041,10.87348,0
131072,131072,41.81439,6.93959,0.04251,6.91875,0
131072,262144,31.40588,4.97132,0.13108,4.90233,0
262144,8192,124.40352,33.62862,0.03948,33.60809,0
262144,16384,101.49927,23.20574,0.04925,23.16898,0
262144,32768,65.11730,15.96619,0.03529,15.95524,0
262144,65536,50.82485,11.01529,0.07192,10.98043,0
262144,131072,39.94930,7.59601,0.05764,7.56582,0
262144,262144,32.40699,4.61272,0.21259,4.50650,0
