rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.56873,0.01537,0.55878,0
8192,8192,5.57150,1.29103,0.00489,1.28844,0
8192,16384,4.24780,0.78529,0.00368,0.78323,0
8192,32768,3.00749,0.48555,0.00679,0.48287,0
16384,8192,5.29134,1.28336,0.00195,1.28256,0
16384,16384,4.07566,0.85618,0.00421,0.85316,0
16384,32768,2.96677,0.43846,0.00638,0.43421,0
32768,8192,5.18002,1.29458,0.00386,1.29290,0
32768,16384,3.99129,0.85084,0.00447,0.84889,0
32768,32768,3.08162,0.58197,0.00292,0.58039,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.55727,0.02338,0.54454,0
8192,8192,5.56809,1.28859,0.00296,1.28714,0
8192,16384,4.25283,0.78818,0.00262,0.78725,0
8192,32768,3.01467,0.48660,0.00493,0.48457,0
16384,8192,5.30380,1.28100,0.00404,1.27966,0
16384,16384,4.07462,0.84747,0.00484,0.84505,0
16384,32768,2.96281,0.43913,0.00817,0.43497,0
32768,8192,5.18053,1.28960,0.00783,1.28527,0
32768,16384,3.99254,0.84909,0.00547,0.84565,0
32768,32768,3.08316,0.58203,0.00419,0.58093,0
