rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,7.60923,0.11917,7.53287,0
8192,8192,294.53008,81.89832,0.03647,81.87868,0
8192,16384,217.97992,53.14044,0.01484,53.13481,0
8192,32768,166.37128,37.10749,0.01998,37.09869,0
8192,65536,132.13080,27.10167,0.04457,27.08579,0
8192,131072,99.44563,19.49755,0.01537,19.48618,0
8192,262144,75.00775,12.86896,0.01376,12.86257,0
16384,8192,259.15886,80.68921,0.03752,80.68436,0
16384,16384,198.67401,52.29156,0.01507,52.28529,0
16384,32768,152.11655,36.70916,0.01952,36.70241,0
16384,65536,120.81083,26.90312,0.02129,26.88820,0
16384,131072,90.67898,19.38050,0.01249,19.37549,0
16384,262144,68.21049,12.76720,0.03523,12.74925,0
32768,8192,258.66878,79.80882,0.01222,79.80558,0
32768,16384,188.22472,51.85663,0.03188,51.83830,0
32768,32768,150.46282,36.47173,0.02905,36.46859,0
32768,65536,109.21956,26.79108,0.01074,26.79043,0
32768,131072,82.03275,19.25294,0.01663,19.24808,0
32768,262144,60.95921,12.79421,0.04158,12.77578,0
65536,8192,246.51812,79.28675,0.02378,79.28661,0
65536,16384,175.91047,51.62996,0.04199,51.60961,0
65536,32768,141.02000,36.36883,0.03673,36.34816,0
65536,65536,99.30235,26.67767,0.00588,26.67580,0
65536,131072,73.52882,19.17479,0.01503,19.16723,0
65536,262144,55.03217,12.75027,0.03354,12.73421,0
131072,8192,247.81114,79.30347,0.18590,79.21820,0
131072,16384,163.65293,51.63659,0.01790,51.62732,0
131072,32768,129.15659,36.33669,0.02196,36.32378,0
131072,65536,91.06001,26.60310,0.01554,26.60301,0
131072,131072,67.24512,19.10992,0.03770,19.09574,0
131072,262144,51.01863,12.73127,0.06145,12.70126,0
262144,8192,246.19297,79.28837,0.05486,79.26377,0
262144,16384,154.28223,51.53473,0.03529,51.51682,0
262144,32768,125.89496,36.33140,0.02702,36.32130,0
262144,65536,84.98065,26.65012,0.04623,26.61848,0
262144,131072,63.62915,19.09046,0.02501,19.07659,0
262144,262144,48.89857,12.74266,0.06985,12.70593,0
