rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.85896,0.03518,0.84607,0
8192,8192,9.20188,2.81118,0.01037,2.80474,0
8192,16384,6.94414,2.06208,0.00414,2.06041,0
8192,32768,5.07619,1.43713,0.00422,1.43403,0
8192,65536,2.92617,0.86228,0.00380,0.86092,0
16384,8192,8.60758,2.78679,0.00848,2.78232,0
16384,16384,6.31716,2.04293,0.00431,2.04109,0
16384,32768,4.65048,1.41506,0.00261,1.41418,0
16384,65536,2.65376,0.85990,0.00534,0.85848,0
32768,8192,7.94912,2.77359,0.00782,2.77028,0
32768,16384,5.91872,2.03428,0.00594,2.03331,0
32768,32768,4.34703,1.40216,0.00423,1.40106,0
32768,65536,2.67362,0.85905,0.00370,0.85601,0
65536,8192,7.64325,2.77133,0.01053,2.76586,0
65536,16384,5.78291,2.03261,0.00388,2.03101,0
65536,32768,4.26853,1.39897,0.00500,1.39604,0
65536,65536,2.60469,0.85722,0.00581,0.85278,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.84176,0.03155,0.81943,0
8192,8192,9.25425,2.81251,0.00726,2.80834,0
8192,16384,7.01223,2.07057,0.00230,2.06913,0
8192,32768,5.07224,1.43280,0.00426,1.43120,0
8192,65536,2.93524,0.86632,0.00264,0.86463,0
16384,8192,8.63584,2.78295,0.00453,2.78129,0
16384,16384,6.33932,2.04230,0.00623,2.03912,0
16384,32768,4.64805,1.41808,0.00605,1.41358,0
16384,65536,2.65415,0.85273,0.00556,0.84994,0
32768,8192,7.96296,2.77743,0.00750,2.77371,0
32768,16384,5.92792,2.03266,0.00680,2.02982,0
32768,32768,4.37657,1.40280,0.00642,1.39904,0
32768,65536,2.68423,0.85920,0.00477,0.85701,0
65536,8192,7.70147,2.76148,0.00395,2.75891,0
65536,16384,5.79583,2.03431,0.00568,2.03146,0
65536,32768,4.30203,1.40867,0.00347,1.40824,0
65536,65536,2.62666,0.86734,0.00754,0.86534,0
