rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.45382,0.00328,0.45181,0
8192,8192,5.91077,1.21336,0.00217,1.21208,0
8192,16384,4.71485,0.70977,0.00172,0.70883,0
8192,32768,3.72473,0.47377,0.00319,0.47263,0
16384,8192,5.69265,1.21295,0.00156,1.21261,0
16384,16384,4.73349,0.70679,0.00211,0.70633,0
16384,32768,3.70280,0.47550,0.00508,0.47330,0
32768,8192,5.72112,1.18721,0.00128,1.18681,0
32768,16384,4.67062,0.72527,0.00205,0.72438,0
32768,32768,3.71004,0.47085,0.00332,0.46882,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.36683,0.00580,0.36450,0
8192,8192,7.93333,1.61097,0.00649,1.60930,0
8192,16384,5.91390,0.88581,0.00654,0.88304,0
8192,32768,3.96089,0.43424,0.00702,0.43016,0
16384,8192,7.33832,1.61114,0.00739,1.60715,0
16384,16384,5.69188,0.83431,0.00417,0.83156,0
16384,32768,3.90110,0.38822,0.00377,0.38725,0
32768,8192,7.18750,1.61181,0.00318,1.60984,0
32768,16384,5.50174,0.94903,0.00359,0.94717,0
32768,32768,3.92269,0.41757,0.00485,0.41612,0
