rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,3.22307,0.02607,3.20324,0
8192,8192,62.14749,20.97303,0.01694,20.96333,0
8192,16384,45.66377,13.85955,0.00809,13.85597,0
8192,32768,36.27243,9.90188,0.01506,9.89549,0
8192,65536,27.33247,7.36674,0.00429,7.36420,0
8192,131072,19.72797,5.26949,0.00593,5.27093,0
8192,262144,11.33271,3.35705,0.00704,3.35211,0
16384,8192,57.50897,20.64323,0.01871,20.63429,0
16384,16384,41.32114,13.69373,0.01380,13.69143,0
16384,32768,32.88102,9.80660,0.00857,9.80096,0
16384,65536,24.49927,7.30980,0.00691,7.30546,0
16384,131072,17.52940,5.23520,0.00984,5.23169,0
16384,262144,9.93751,3.36171,0.00630,3.35958,0
32768,8192,56.26414,20.48315,0.01088,20.48003,0
32768,16384,37.49807,13.60960,0.01526,13.60276,0
32768,32768,29.41409,9.76111,0.01773,9.75232,0
32768,65536,21.71962,7.28522,0.00607,7.28380,0
32768,131072,15.97513,5.20387,0.01057,5.19995,0
32768,262144,9.00526,3.34762,0.01316,3.34210,0
65536,8192,54.92426,20.44712,0.02093,20.44010,0
65536,16384,34.61233,13.56035,0.00973,13.55316,0
65536,32768,27.29912,9.75937,0.00471,9.75775,0
65536,65536,19.88180,7.24494,0.00334,7.24317,0
65536,131072,14.67387,5.19483,0.00874,5.19007,0
65536,262144,8.49101,3.33356,0.01264,3.32634,0
131072,8192,54.81682,20.41921,0.01747,20.41023,0
131072,16384,32.63588,13.53898,0.00611,13.53834,0
131072,32768,25.60952,9.75338,0.01339,9.75607,0
131072,65536,18.90272,7.25821,0.00829,7.26028,0
131072,131072,13.99534,5.17813,0.00622,5.17656,0
131072,262144,8.35763,3.34182,0.01445,3.33863,0
262144,8192,53.57493,20.43216,0.01117,20.42700,0
262144,16384,39.12123,13.55670,0.01045,13.55161,0
262144,32768,24.53546,9.74550,0.01218,9.74173,0
262144,65536,18.62650,7.29621,0.00502,7.29410,0
262144,131072,13.61409,5.28541,0.01900,5.28368,0
262144,262144,8.62229,3.36971,0.01139,3.36488,0
