rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,25.89738,0.88585,25.53508,0
8192,8192,1191.29494,263.05681,0.09182,262.98018,0
8192,16384,947.17596,189.66836,0.25421,189.69936,0
8192,32768,800.33994,141.24688,0.19925,141.08916,0
8192,65536,641.73333,102.94770,0.04353,102.92724,0
8192,131072,554.64446,70.67603,0.17185,70.70545,0
8192,262144,446.60236,46.96733,0.39243,46.67873,0
16384,8192,1106.23670,255.66196,0.26073,255.56834,0
16384,16384,867.50147,185.83934,0.19225,185.75498,0
16384,32768,719.26183,139.57151,0.15421,139.46031,0
16384,65536,608.69574,101.53378,0.14898,101.46307,0
16384,131072,500.52165,69.90918,0.16988,69.93781,0
16384,262144,408.77966,46.60425,0.18397,46.43113,0
32768,8192,1130.88046,251.39299,0.19243,251.26870,0
32768,16384,849.28460,183.75499,0.25453,183.57344,0
32768,32768,682.36110,139.35877,0.37234,139.20740,0
32768,65536,578.58987,101.40451,0.40216,101.11544,0
32768,131072,481.65312,69.75094,0.18660,69.69572,0
32768,262144,386.10957,47.01983,0.61441,46.77456,0
65536,8192,1185.22502,252.06008,0.86431,251.77026,0
65536,16384,879.56899,183.78892,0.64408,183.41711,0
65536,32768,672.65923,138.28388,0.29817,138.25576,0
65536,65536,522.51284,100.42250,0.39434,100.21355,0
65536,131072,440.02371,69.44362,0.17429,69.35182,0
65536,262144,364.14538,46.41914,0.23356,46.29269,0
131072,8192,1150.82892,250.03780,0.81756,249.60814,0
131072,16384,894.86978,182.93412,0.33210,182.88907,0
131072,32768,674.66856,137.59083,0.25799,137.50294,0
131072,65536,515.10816,100.16251,0.17704,100.13714,0
131072,131072,413.00112,69.23047,0.13958,69.17913,0
131072,262144,343.77343,46.38199,0.28096,46.35354,0
262144,8192,1151.30355,248.59234,1.14738,247.87458,0
262144,16384,867.88873,182.06132,0.32536,181.89778,0
262144,32768,656.02364,137.09792,0.09618,137.05173,0
262144,65536,516.56032,99.84793,0.09059,99.79639,0
262144,131072,410.96149,68.80881,0.20050,68.72868,0
262144,262144,329.93573,46.53833,0.32592,46.36147,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,52.75657,0.13680,52.67432,0
8192,8192,2132.55408,395.37914,0.19358,395.39102,0
8192,16384,1652.27040,271.23930,0.18215,271.18071,0
8192,32768,1305.32642,195.15808,0.04384,195.13791,0
8192,65536,1018.32745,138.87868,0.06086,138.87841,0
8192,131072,854.38066,94.62145,0.05521,94.58364,0
8192,262144,664.55399,65.28112,0.03139,65.28648,0
16384,8192,1980.89252,389.43218,0.07394,389.40858,0
16384,16384,1507.57467,268.49551,0.16000,268.52433,0
16384,32768,1175.07247,193.62112,0.10537,193.62866,0
16384,65536,986.76392,137.49984,0.03612,137.48200,0
16384,131072,789.40168,93.23217,0.05246,93.20744,0
16384,262144,623.15427,64.20864,0.04690,64.19048,0
32768,8192,1841.06801,386.71750,0.07083,386.68091,0
32768,16384,1408.48323,266.97512,0.21706,266.87526,0
32768,32768,1088.24334,192.88851,0.04725,192.86897,0
32768,65536,905.97036,136.95784,0.11312,136.89799,0
32768,131072,745.81868,92.36625,0.07721,92.37142,0
32768,262144,576.53930,63.73144,0.04479,63.71698,0
65536,8192,1731.26868,385.09529,0.19227,385.00514,0
65536,16384,1309.63045,265.90695,0.29205,265.70434,0
65536,32768,1003.83663,192.26815,0.04753,192.24784,0
65536,65536,810.64021,136.42796,0.09554,136.41630,0
65536,131072,688.96150,92.22137,0.09653,92.22376,0
65536,262144,540.68026,63.24483,0.08081,63.17298,0
131072,8192,1612.24036,385.73363,0.11662,385.75980,0
131072,16384,1251.83442,266.01556,0.14826,265.93510,0
131072,32768,962.12823,191.95604,0.06850,191.93123,0
131072,65536,773.09964,136.33247,0.09341,136.31480,0
131072,131072,624.90014,91.65537,0.09277,91.61149,0
131072,262144,489.59157,63.56584,0.07531,63.54460,0
262144,8192,1576.00122,384.67022,0.02471,384.65769,0
262144,16384,1199.75334,265.65311,0.09801,265.59484,0
262144,32768,900.68786,191.99077,0.10109,191.98981,0
262144,65536,736.42125,136.42082,0.06544,136.37337,0
262144,131072,591.03591,92.19975,0.07158,92.16090,0
262144,262144,447.24107,63.53178,0.05712,63.50786,0
