rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.24481,0.00263,0.24348,0
8192,8192,1.99456,0.42193,0.00371,0.42034,0
8192,16384,1.28037,0.19455,0.00558,0.19172,0
16384,8192,1.94552,0.42087,0.00439,0.41851,0
16384,16384,1.25281,0.24986,0.00331,0.24809,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.24802,0.00967,0.24300,0
8192,8192,1.99271,0.41944,0.00446,0.41664,0
8192,16384,1.27560,0.19414,0.00444,0.19204,0
16384,8192,1.94330,0.41901,0.00416,0.41661,0
16384,16384,1.25140,0.25046,0.00350,0.24940,0
