rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.31475,0.00462,0.31343,0
8192,8192,1.47939,0.63829,0.00706,0.63453,0
8192,16384,1.05120,0.47504,0.00138,0.47464,0
8192,32768,0.55804,0.33014,0.00160,0.32949,0
16384,8192,1.39318,0.63761,0.00215,0.63682,0
16384,16384,0.99443,0.47046,0.00199,0.46996,0
16384,32768,0.55881,0.32875,0.00138,0.32782,0
32768,8192,1.36306,0.63241,0.00158,0.63167,0
32768,16384,0.96265,0.47004,0.00223,0.46942,0
32768,32768,0.53889,0.32886,0.00239,0.32830,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.30888,0.00525,0.30597,0
8192,8192,1.47500,0.63449,0.00450,0.63205,0
8192,16384,1.04718,0.47312,0.00229,0.47201,0
8192,32768,0.56036,0.32945,0.00265,0.32767,0
16384,8192,1.39460,0.63082,0.00473,0.62928,0
16384,16384,0.98956,0.47382,0.00217,0.47362,0
16384,32768,0.55420,0.31875,0.00599,0.31410,0
32768,8192,1.35591,0.62731,0.00442,0.62476,0
32768,16384,0.96334,0.47581,0.00147,0.47537,0
32768,32768,0.53889,0.32101,0.00399,0.31947,0
