rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,11.66234,0.02156,11.65679,0
8192,8192,334.33107,12.53082,0.02720,12.51625,1
8192,16384,267.68071,11.02988,0.01204,11.02349,1
8192,32768,231.58975,11.14455,0.01762,11.14117,1
8192,65536,204.60426,11.71019,0.02977,11.68413,0
16384,8192,320.03049,12.67724,0.04576,12.66451,1
16384,16384,274.76153,11.06739,0.03933,11.04306,1
16384,32768,239.14106,11.09080,0.02715,11.07509,1
16384,65536,215.83414,11.57769,0.02247,11.56121,0
32768,8192,301.84150,12.25155,0.04688,12.22548,1
32768,16384,255.50471,10.97195,0.02946,10.95350,1
32768,32768,228.80162,11.00497,0.01990,10.99451,1
32768,65536,268.43904,11.64045,0.01852,11.63395,0
65536,8192,302.87646,12.11201,0.02175,12.10232,1
65536,16384,253.11509,11.00376,0.02003,10.99167,1
65536,32768,282.71764,11.19612,0.01599,11.18583,1
65536,65536,235.00882,11.54932,0.01778,11.54141,0
